Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;V31Z;V31B;V32Z;V32B;V33Z;V33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;T1-T2_Anf_32Z;T1-T2_Anf_32B;T3-T4_Anf_38Z;T3-T4_Anf_38B;V14Z;V14B;V40Z;V40B;T5-T6_Anf_31Z;T5-T6_Anf_31B
19.03.2025;00:21;A181;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:20;A181;1;0;0;2;3;0;0;0;100;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:19;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:18;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;1;2;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:17;A181;1;0;0;1;2;0;0;0;100;0;0;1;2;1;3;1;27;0;0;0;0;0;0;0;0;1;2;0;0;0;0
19.03.2025;00:16;A181;1;0;0;3;5;1;6;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:15;A181;1;0;0;2;5;1;36;0;100;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:14;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:13;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;4;0;0;0;0;1;30;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:12;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;3;16;0;0;0;0;0;0;2;2;0;0
19.03.2025;00:11;A181;1;0;0;0;0;1;1;0;100;0;0;1;3;2;3;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0
19.03.2025;00:10;A181;1;0;0;0;0;0;0;0;100;0;0;2;4;2;4;0;0;0;0;1;3;0;0;0;0;2;4;0;0;0;0
19.03.2025;00:09;A181;1;0;0;1;2;1;3;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
19.03.2025;00:08;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:07;A181;1;0;0;2;5;1;4;0;100;0;0;0;0;0;0;3;31;0;0;0;0;0;0;0;0;0;0;1;2;0;0
19.03.2025;00:06;A181;1;0;0;2;3;1;4;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
19.03.2025;00:05;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;42;0;0;2;12;0;0;0;0;0;0;2;2;0;0
19.03.2025;00:04;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:03;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:02;A181;1;0;0;1;5;1;11;0;100;0;0;0;0;1;2;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:01;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;2;3;1;51;0;0;0;0;0;0;0;0;2;2;0;0;0;0
19.03.2025;00:00;A181;1;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0
18.03.2025;23:59;A181;1;0;0;1;1;0;0;0;100;0;0;2;3;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:58;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:57;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
