Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;V5Z;V5B;V11Z;V11B;V51Z;V51B;V111Z;V111B
26.02.2024;23:44;A 85;1;0;0;0;0;2;2;0;0;2;2;0;0
26.02.2024;23:43;A 85;1;0;0;0;0;1;1;0;0;1;2;0;0
26.02.2024;23:42;A 85;1;0;0;0;0;2;4;2;2;2;4;1;2
26.02.2024;23:41;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:40;A 85;1;0;0;0;0;1;1;0;0;1;2;0;0
26.02.2024;23:39;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:38;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:37;A 85;1;0;0;0;0;0;0;1;1;0;0;0;0
26.02.2024;23:36;A 85;1;0;0;0;0;0;0;2;2;0;0;1;1
26.02.2024;23:35;A 85;1;0;0;0;0;2;4;1;2;2;4;1;2
26.02.2024;23:34;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:33;A 85;1;0;0;0;0;1;1;2;2;1;1;1;2
26.02.2024;23:32;A 85;1;0;0;0;0;0;0;2;2;0;0;2;3
26.02.2024;23:31;A 85;1;0;0;0;0;1;1;6;7;1;1;4;7
26.02.2024;23:30;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:29;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:28;A 85;1;0;0;0;0;0;0;2;4;0;0;3;7
26.02.2024;23:27;A 85;1;0;0;0;0;0;0;2;2;0;0;2;4
26.02.2024;23:26;A 85;1;0;0;0;0;0;0;1;1;0;0;2;2
26.02.2024;23:25;A 85;1;0;0;0;0;0;0;0;0;0;0;1;1
26.02.2024;23:24;A 85;1;0;0;0;0;1;1;0;1;1;1;1;1
26.02.2024;23:23;A 85;1;0;0;0;0;0;0;1;1;0;0;0;0
26.02.2024;23:22;A 85;1;0;0;0;0;1;1;3;3;1;2;2;3
26.02.2024;23:21;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
26.02.2024;23:20;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:19;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:18;A 85;1;0;0;0;0;1;1;0;0;1;1;0;1
26.02.2024;23:17;A 85;1;0;0;0;0;0;0;2;3;0;0;2;2
26.02.2024;23:16;A 85;1;0;0;0;0;0;0;4;3;0;0;3;4
26.02.2024;23:15;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
26.02.2024;23:14;A 85;1;0;0;0;0;3;3;4;5;3;4;3;4
26.02.2024;23:13;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
26.02.2024;23:12;A 85;1;0;0;0;0;0;0;3;3;0;0;3;5
26.02.2024;23:11;A 85;1;0;0;0;0;3;4;1;1;3;4;1;2
26.02.2024;23:10;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
26.02.2024;23:09;A 85;1;0;0;0;0;1;1;4;3;1;1;3;6
26.02.2024;23:08;A 85;1;0;0;0;0;1;1;3;3;1;2;2;3
26.02.2024;23:07;A 85;1;0;0;0;0;0;1;1;1;1;1;1;1
26.02.2024;23:06;A 85;1;0;0;0;0;2;2;0;0;1;1;0;0
26.02.2024;23:05;A 85;1;0;0;0;0;1;1;2;2;1;1;1;1
26.02.2024;23:04;A 85;1;0;0;0;0;1;1;2;2;1;1;1;1
26.02.2024;23:03;A 85;1;0;0;0;0;1;1;1;1;1;2;1;2
26.02.2024;23:02;A 85;1;0;0;0;0;1;2;1;2;1;1;1;1
26.02.2024;23:01;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:00;A 85;1;0;0;0;0;1;1;1;2;1;1;1;2
26.02.2024;22:59;A 85;1;0;0;0;0;0;0;6;5;0;0;3;5
26.02.2024;22:58;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;22:57;A 85;1;0;0;0;0;0;0;1;1;0;0;1;2
26.02.2024;22:56;A 85;1;0;0;0;0;0;0;2;3;0;0;2;3
26.02.2024;22:55;A 85;1;0;0;0;0;1;1;1;2;1;1;1;2
26.02.2024;22:54;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
26.02.2024;22:53;A 85;1;0;0;0;0;1;1;3;2;1;1;2;3
26.02.2024;22:52;A 85;1;0;0;0;0;0;0;7;6;0;0;4;6
26.02.2024;22:51;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
26.02.2024;22:50;A 85;1;0;0;0;0;2;2;0;0;2;3;0;0
26.02.2024;22:49;A 85;1;0;0;0;0;0;0;3;3;0;0;3;4
26.02.2024;22:48;A 85;1;0;0;0;0;1;1;1;1;1;1;1;1
26.02.2024;22:47;A 85;1;0;0;0;0;1;1;3;4;1;1;2;3
26.02.2024;22:46;A 85;1;0;0;0;0;1;1;5;4;1;1;3;5
26.02.2024;22:45;A 85;1;0;0;0;0;1;1;4;5;1;1;3;4
26.02.2024;22:44;A 85;1;0;0;0;0;1;1;4;4;1;1;4;6
26.02.2024;22:43;A 85;1;0;0;0;0;0;0;1;3;0;0;2;3
26.02.2024;22:42;A 85;1;0;0;0;0;3;3;3;3;3;3;2;3
26.02.2024;22:41;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;22:40;A 85;1;0;0;0;0;4;4;2;3;4;5;2;3
26.02.2024;22:39;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;22:38;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
26.02.2024;22:37;A 85;1;0;0;0;0;1;1;3;2;1;2;2;4
26.02.2024;22:36;A 85;1;0;0;0;0;0;0;7;7;0;0;5;6
26.02.2024;22:35;A 85;1;0;0;0;0;0;0;7;9;0;0;5;9
26.02.2024;22:34;A 85;1;0;0;0;0;0;0;1;2;0;0;1;1
26.02.2024;22:33;A 85;1;0;0;0;0;4;5;6;9;5;7;5;8
26.02.2024;22:32;A 85;1;0;0;0;0;1;1;4;6;1;0;4;7
26.02.2024;22:31;A 85;1;0;0;0;0;1;1;3;4;1;1;2;3
26.02.2024;22:30;A 85;1;0;0;0;0;1;1;1;1;1;1;1;1
26.02.2024;22:29;A 85;1;0;0;0;0;2;2;4;4;2;3;4;6
26.02.2024;22:28;A 85;1;0;0;0;0;1;1;2;2;1;2;1;1
26.02.2024;22:27;A 85;1;0;0;0;0;2;2;7;8;2;3;6;10
26.02.2024;22:26;A 85;1;0;0;0;0;3;3;9;10;3;4;8;11
26.02.2024;22:25;A 85;1;0;0;0;0;2;2;8;9;2;2;6;10
26.02.2024;22:24;A 85;1;0;0;0;0;3;4;0;0;4;5;0;0
26.02.2024;22:23;A 85;1;0;0;0;0;1;2;5;7;1;1;4;7
26.02.2024;22:22;A 85;1;0;0;0;0;2;3;6;6;2;3;4;7
26.02.2024;22:21;A 85;1;0;0;0;0;0;0;10;12;0;0;7;12
26.02.2024;22:20;A 85;1;0;0;0;0;6;7;0;0;6;10;0;0
26.02.2024;22:19;A 85;1;0;0;0;0;1;1;1;2;1;1;1;3
26.02.2024;22:18;A 85;1;0;0;0;0;0;0;3;5;0;0;3;3
26.02.2024;22:17;A 85;1;0;0;0;0;3;3;4;6;3;4;4;5
26.02.2024;22:16;A 85;1;0;0;0;0;3;4;3;3;3;5;2;3
26.02.2024;22:15;A 85;1;0;0;0;0;4;5;2;3;4;5;2;4
26.02.2024;22:14;A 85;1;0;0;0;0;1;1;6;7;1;1;5;9
26.02.2024;22:13;A 85;1;0;0;0;0;2;2;0;0;2;3;0;0
26.02.2024;22:12;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
26.02.2024;22:11;A 85;1;0;0;0;0;1;1;4;5;1;1;3;5
26.02.2024;22:10;A 85;1;0;0;0;0;2;2;0;0;2;2;0;0
26.02.2024;22:09;A 85;1;0;0;0;0;1;1;1;2;1;1;1;1
26.02.2024;22:08;A 85;1;0;0;0;0;2;2;3;4;2;3;3;4
26.02.2024;22:07;A 85;1;0;0;0;0;1;1;0;0;2;2;1;1
26.02.2024;22:06;A 85;1;0;0;0;0;2;2;7;9;2;3;6;8
26.02.2024;22:05;A 85;1;0;0;0;0;1;1;2;5;1;1;3;5
26.02.2024;22:04;A 85;1;0;0;0;0;4;4;5;5;4;5;3;6
26.02.2024;22:03;A 85;1;0;0;0;0;0;0;0;0;0;0;0;2
