Datum;Uhrzeit;Bezeichnung;Intervall;T32_sZ;T32_sB;T32_bZ;T32_bB;T32a_sZ;T32a_sB;T32a_bZ;T32a_bB;V51_M1_Z;V51_M1_B;H51_M2_Z;H51_M2_B;A51_M3_Z;A51_M3_B;V55_M4_Z;V55_M4_B;H55_M5_Z;H55_M5_B;A55_M6_Z;A55_M6_B;V32Z;V32B;V2Z;V2B;V8Z;V8B
22.04.2024;01:57;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0
22.04.2024;01:53;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:51;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:49;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:46;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:41;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
22.04.2024;01:35;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:34;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:32;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:31;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:30;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:27;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:25;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:23;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
22.04.2024;01:21;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:17;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1;4;0;0;2;4
22.04.2024;01:16;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:10;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:09;A100;1;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;1;6;0;0
22.04.2024;01:08;A100;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
22.04.2024;01:05;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0
22.04.2024;01:04;A100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
