Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;TF35Z;TF35B;TBS35Z;TBS35B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB
22.04.2024;02:00;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:56;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:52;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:50;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:48;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:45;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:40;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:34;A108;1;0;0;1;6;0;0;0;0;0;0;0;0
22.04.2024;01:33;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:31;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:30;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:29;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:26;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:24;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:22;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:20;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:16;A108;1;2;3;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:15;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:09;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:08;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:07;A108;1;1;2;1;7;0;0;0;0;0;0;0;0
22.04.2024;01:04;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:03;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:01;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:00;A108;1;1;8;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:59;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:56;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:55;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:48;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:47;A108;1;1;9;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:45;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:43;A108;1;0;0;1;8;0;0;0;0;0;0;0;0
22.04.2024;00:42;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:41;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:37;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:36;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:34;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:33;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:32;A108;1;0;0;1;8;0;0;0;0;0;0;0;0
22.04.2024;00:31;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:30;A108;1;0;0;3;11;0;0;0;0;0;0;0;0
22.04.2024;00:29;A108;1;4;11;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:23;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:22;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:20;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:18;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:17;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:14;A108;1;0;0;1;3;0;0;0;0;0;0;0;0
22.04.2024;00:08;A108;1;1;2;0;3;0;0;0;0;0;0;0;0
22.04.2024;00:04;A108;1;1;10;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:03;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:00;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
21.04.2024;23:58;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
21.04.2024;23:57;A108;1;0;0;1;10;0;0;0;0;0;0;0;0
21.04.2024;23:55;A108;1;1;7;0;0;0;0;0;0;0;0;0;0
21.04.2024;23:54;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
21.04.2024;23:52;A108;1;1;8;1;8;0;0;0;0;0;0;0;0
21.04.2024;23:50;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
