Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
22.04.2024;02:00;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:56;A151;1;0;0;0;0;0;0;0;0;1;6;0;0;0;0
22.04.2024;01:52;A151;1;1;7;1;7;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:50;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:48;A151;1;1;12;1;6;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:45;A151;1;2;22;2;6;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:40;A151;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:34;A151;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:33;A151;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:31;A151;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0
22.04.2024;01:30;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:29;A151;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:26;A151;1;2;18;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:24;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:22;A151;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
22.04.2024;01:20;A151;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:16;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:15;A151;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:09;A151;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:08;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:07;A151;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:04;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:03;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:01;A151;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;01:00;A151;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:59;A151;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:56;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:55;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:48;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:47;A151;1;1;10;1;8;0;0;0;0;1;2;0;0;0;0
22.04.2024;00:45;A151;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:43;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:42;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:41;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:37;A151;1;2;21;0;0;0;0;0;0;1;2;0;0;0;0
22.04.2024;00:36;A151;1;1;6;3;15;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:34;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:33;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:32;A151;1;2;7;3;14;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:31;A151;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:30;A151;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:29;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:23;A151;1;1;7;1;8;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:22;A151;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
22.04.2024;00:20;A151;1;1;12;0;0;0;0;0;0;1;3;0;0;0;0
22.04.2024;00:18;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:17;A151;1;1;10;1;4;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:14;A151;1;1;5;1;9;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:08;A151;1;1;11;1;6;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:04;A151;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:03;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;00:00;A151;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
21.04.2024;23:58;A151;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
