Datum;Uhrzeit;Bezeichnung;Intervall;TF35Z;TF35B;TF35aZ;TF35aB;TF36Z;TF36B;TF36aZ;TF36aB
22.04.2024;02:00;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:56;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:52;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:50;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:48;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:45;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:40;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:34;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:33;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:31;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:30;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:29;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:26;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:24;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:22;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:20;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:16;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:15;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:09;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:08;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:07;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:04;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:03;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:01;A114;1;0;0;0;0;0;0;0;0
22.04.2024;01:00;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:59;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:56;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:55;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:48;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:47;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:45;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:43;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:42;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:41;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:37;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:36;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:34;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:33;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:32;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:31;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:30;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:29;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:23;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:22;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:20;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:18;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:17;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:14;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:08;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:04;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:03;A114;1;0;0;0;0;0;0;0;0
22.04.2024;00:00;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:58;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:57;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:55;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:54;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:52;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:50;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:49;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:48;A114;1;0;0;0;0;0;0;0;0
21.04.2024;23:47;A114;1;0;0;0;0;0;0;0;0
