Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;HH51_M1_4501Z;HH51_M1_4501B;AH51_M2_4502Z;AH51_M2_4502B;HH55_M3_2137Z;HH55_M3_2137B;AH55_M4_2138Z;AH55_M4_2138B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D10Z;D10B;21Z;21B;22Z;22B;23Z;23B;24Z;24B;25Z;25B;26Z;26B;27Z;27B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
17.06.2024;21:36;A 13;1;0;100;0;100;0;0;5;12;1;1;0;0;1;1;1;1;0;0;0;0;2;4;1;72;1;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:35;A 13;1;0;100;0;100;0;0;0;0;0;0;1;34;0;0;2;3;1;3;0;0;4;6;1;35;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:34;A 13;1;0;100;0;100;0;0;2;3;2;3;0;0;0;0;1;1;1;4;0;0;5;39;2;52;0;0;1;2;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:33;A 13;1;0;100;0;100;0;0;1;1;0;0;0;2;3;3;2;2;0;0;2;1;5;48;2;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:32;A 13;1;0;100;0;100;0;40;1;1;2;3;1;24;0;0;3;4;0;79;0;0;1;1;2;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:31;A 13;1;0;100;0;100;1;4;3;3;1;2;2;14;0;0;3;3;1;15;1;0;3;5;2;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:30;A 13;1;0;100;0;100;0;0;2;2;0;0;1;73;0;0;0;0;1;49;1;0;1;2;1;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:29;A 13;1;0;100;0;100;3;90;2;3;2;3;1;57;0;0;1;1;1;38;1;1;4;8;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:28;A 13;1;0;100;0;100;1;30;2;4;1;1;4;84;0;0;3;5;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.06.2024;21:27;A 13;1;0;100;0;100;1;42;4;6;3;3;2;66;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;;;;;;;
