Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;D3Z;D3B;D4Z;D4B;D5Z;D5B;D6Z;D6B;T1_bZ;T1_bB;T2_bZ;T2_bB;V21Z;V21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;V81Z;V81B;V82Z;V82B;V211Z;V211B;V212Z;V212B;V811Z;V811B;V812Z;V812B;V1111Z;V1111B;V1112Z;V1112B;T3_bZ;T3_bB;T4_bZ;T4_bB;Det_FWZ;Det_FWB;T1_sZ;T1_sB;T2_sZ;T2_sB;T3_sZ;T3_sB;T4_sZ;T4_sB;V1_i_OZ;V1_i_OB;V2_i_OZ;V2_i_OB;V3_i_OZ;V3_i_OB;V4_i_OZ;V4_i_OB;V5_i_OZ;V5_i_OB;V6_i_OZ;V6_i_OB;EG23Z;EG23B;EG24Z;EG24B
17.06.2024;21:35;A104;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;47;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:34;A104;1;4;52;3;17;4;5;4;4;0;0;0;0;0;0;0;0;1;3;2;12;1;0;2;1;1;64;1;69;1;2;3;7;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:33;A104;1;2;6;1;5;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;3;58;0;79;0;0;0;0;1;16;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:32;A104;1;1;8;3;7;1;1;3;2;0;0;0;0;0;0;0;0;2;1;2;7;1;0;2;1;1;2;2;35;1;2;1;2;1;4;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:31;A104;1;1;47;0;0;2;4;0;0;0;0;0;32;0;0;0;0;1;34;1;7;2;3;1;1;0;0;2;2;1;6;1;2;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:30;A104;1;2;14;0;2;2;3;0;0;0;0;1;0;0;0;0;0;0;0;1;7;0;0;1;1;0;0;0;0;0;0;1;3;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:29;A104;1;0;0;2;7;1;0;2;3;0;0;2;9;0;0;0;0;1;7;1;5;1;1;1;1;1;26;1;4;1;3;1;2;2;17;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:28;A104;1;1;3;2;6;1;1;2;2;0;0;1;9;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;4;1;2;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:27;A104;1;0;0;0;0;0;0;0;0;1;1;2;6;0;0;0;0;1;4;1;3;2;1;1;0;2;85;2;67;0;0;1;5;1;0;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:26;A104;1;1;2;1;1;1;0;1;0;0;0;1;49;0;0;0;0;0;0;1;12;0;0;2;3;0;0;0;0;1;6;2;5;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:25;A104;1;1;2;1;2;1;0;1;0;0;0;2;7;0;0;0;0;2;48;2;37;2;4;2;2;2;19;2;14;1;3;1;2;0;0;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:24;A104;1;1;42;2;7;3;3;3;2;0;0;1;50;0;0;0;0;2;6;1;3;2;2;1;0;1;13;2;5;0;0;1;3;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:23;A104;1;2;7;2;6;2;2;2;2;0;0;1;1;0;0;0;0;0;0;1;5;0;0;1;1;3;16;1;8;0;0;1;3;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:22;A104;1;1;2;1;1;1;0;1;0;0;0;2;2;0;0;0;0;0;0;1;6;0;0;1;1;1;29;1;4;0;0;1;2;1;6;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:21;A104;1;2;5;1;2;2;1;1;0;0;0;4;36;0;0;0;0;0;12;2;8;2;4;3;2;1;56;2;6;1;8;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:20;A104;1;1;2;1;6;1;1;2;2;0;0;2;4;0;0;0;0;2;3;1;7;2;1;1;1;2;44;1;5;2;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:19;A104;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;14;1;22;1;1;1;1;1;25;1;11;2;6;2;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:18;A104;1;1;2;0;0;1;0;0;0;0;0;1;57;0;0;0;0;2;6;2;32;2;2;2;3;2;34;0;0;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:17;A104;1;1;2;2;10;2;1;2;1;1;1;1;1;0;0;0;0;1;4;1;6;1;1;1;1;1;3;1;3;0;0;0;0;2;7;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:16;A104;1;1;2;1;2;1;0;1;0;0;0;0;0;0;0;0;0;1;3;2;9;1;1;2;2;1;4;1;3;1;4;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:15;A104;1;1;4;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;18;0;5;1;2;0;0;1;7;0;0;1;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:14;A104;1;1;1;1;5;1;0;2;2;1;1;1;20;0;0;0;0;1;4;1;1;1;1;1;1;0;0;1;26;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:13;A104;1;1;2;1;4;2;2;1;1;0;0;4;70;0;0;0;0;0;0;2;44;0;0;2;11;0;0;1;6;2;6;3;11;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:12;A104;1;1;2;1;2;1;0;1;0;1;3;2;35;0;0;0;0;3;42;3;56;2;3;4;29;2;14;1;2;2;5;1;4;0;0;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:11;A104;1;1;4;0;0;1;1;0;0;0;0;4;6;0;0;0;0;2;45;2;8;2;3;2;1;1;7;0;0;0;0;1;1;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:10;A104;1;2;5;1;1;2;2;1;0;0;0;0;0;0;0;0;0;1;4;2;9;1;0;2;2;2;13;0;0;1;1;2;8;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:09;A104;1;2;4;3;20;3;4;4;4;0;0;2;51;0;0;0;0;1;3;3;11;1;1;3;3;0;37;1;45;1;2;2;5;1;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:08;A104;1;1;4;0;0;1;1;0;0;0;0;2;27;0;0;0;0;1;27;1;5;1;2;1;1;1;76;1;30;1;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:07;A104;1;3;9;3;9;3;3;3;2;0;0;1;27;0;0;0;0;1;45;0;48;1;3;2;5;2;83;2;4;2;10;5;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:06;A104;1;1;2;1;9;2;2;2;1;0;0;1;0;0;0;0;0;2;71;2;55;3;4;3;7;2;63;1;6;2;9;1;6;1;48;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:05;A104;1;0;0;1;2;0;0;1;0;0;0;3;24;0;0;0;0;1;27;4;24;3;7;2;3;0;39;0;39;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:04;A104;1;2;11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;5;2;12;1;1;2;2;2;64;1;16;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2024;21:03;A104;1;1;2;1;2;2;2;1;0;0;0;0;2;0;0;0;0;1;16;1;20;2;9;1;1;2;10;1;6;2;5;1;6;2;26;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
