Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TBS32Z;TBS32B;TF38Z;TF38B;TBS38Z;TBS38B;TBS41Z;TBS41B;VK1_IOZ;VK1_IOB;VK2_IOZ;VK2_IOB;VK3_IOZ;VK3_IOB;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;MP54Z;MP54B;MP55Z;MP55B
17.06.2024;14:20;A 68;1;2;11;4;30;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:19;A 68;1;2;44;2;24;3;39;2;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:18;A 68;1;4;45;2;20;2;15;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:17;A 68;1;3;75;1;10;3;70;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:16;A 68;1;1;99;2;12;2;97;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:15;A 68;1;1;91;2;68;1;99;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:14;A 68;1;4;39;0;0;2;85;2;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:13;A 68;1;3;78;3;35;4;50;4;12;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:12;A 68;1;2;67;4;44;2;60;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:11;A 68;1;3;68;1;8;5;97;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:10;A 68;1;5;67;1;6;5;87;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:09;A 68;1;1;4;3;32;0;100;0;100;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:08;A 68;1;2;29;3;23;1;56;3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:07;A 68;1;2;33;4;71;2;60;2;29;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:06;A 68;1;1;40;0;0;1;96;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:05;A 68;1;2;51;2;11;3;22;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:04;A 68;1;1;29;4;47;4;76;5;18;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:03;A 68;1;0;0;1;13;2;60;3;10;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:02;A 68;1;2;32;4;35;1;2;1;3;0;0;0;0;3;6;7;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:01;A 68;1;3;72;3;37;2;85;0;85;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;14:00;A 68;1;2;48;3;20;2;70;2;42;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:59;A 68;1;1;4;3;16;4;72;4;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:58;A 68;1;2;41;2;15;1;33;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:57;A 68;1;3;61;1;48;3;78;1;79;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:56;A 68;1;5;55;1;98;4;51;2;52;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:54;A 68;1;1;88;2;33;1;99;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:38;A 68;1;6;89;1;11;1;41;1;3;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:36;A 68;1;5;37;0;28;2;53;5;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:34;A 68;1;0;68;2;10;1;89;2;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:32;A 68;1;5;49;3;18;0;100;0;100;0;0;0;0;1;1;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:30;A 68;1;0;0;1;45;0;97;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:29;A 68;1;0;0;1;17;2;95;2;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:28;A 68;1;2;45;5;21;2;36;2;10;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:27;A 68;1;4;82;3;28;4;53;2;46;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:26;A 68;1;1;13;1;17;2;78;2;11;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:25;A 68;1;5;46;2;32;5;69;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:24;A 68;1;2;92;1;20;3;84;2;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:23;A 68;1;2;24;2;62;3;96;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:22;A 68;1;1;40;0;0;2;43;2;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:21;A 68;1;4;59;4;26;5;57;5;27;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:20;A 68;1;6;29;4;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:19;A 68;1;1;11;3;14;2;50;1;38;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:18;A 68;1;4;55;0;20;4;37;3;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:17;A 68;1;4;50;3;54;3;44;4;26;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:16;A 68;1;7;53;1;98;1;77;1;25;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:15;A 68;1;3;23;3;32;0;100;1;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:14;A 68;1;6;42;0;0;2;69;4;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:13;A 68;1;5;65;3;24;1;26;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:12;A 68;1;1;56;2;6;2;91;0;87;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:11;A 68;1;3;67;2;24;1;98;2;93;0;0;0;0;1;1;1;2;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:10;A 68;1;0;100;4;20;3;85;0;53;1;1;0;0;5;8;2;4;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:09;A 68;1;1;58;2;26;0;100;1;98;1;1;2;3;1;1;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:08;A 68;1;3;52;3;29;2;62;2;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:07;A 68;1;2;72;3;74;2;83;4;53;3;5;5;8;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:06;A 68;1;4;28;3;35;7;53;4;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:05;A 68;1;3;49;1;53;3;61;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:04;A 68;1;4;74;1;42;1;62;3;24;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:03;A 68;1;4;80;1;34;3;85;1;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:02;A 68;1;3;12;1;15;2;98;1;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:01;A 68;1;6;83;0;0;3;53;3;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;13:00;A 68;1;5;58;0;0;2;76;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;12:59;A 68;1;6;57;5;30;1;32;1;4;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;12:58;A 68;1;3;42;0;0;5;55;1;29;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;12:57;A 68;1;3;13;0;0;4;38;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;12:56;A 68;1;0;77;4;19;3;96;1;59;0;0;0;0;3;5;9;29;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;12:55;A 68;1;6;53;1;48;1;98;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;12:54;A 68;1;2;8;2;38;0;100;2;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
17.06.2024;12:53;A 68;1;2;25;0;41;2;75;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
