Datum;Uhrzeit;Bezeichnung;Intervall;d11Z;d11B;d12Z;d12B;d20Z;d20B;d21Z;d21B;d22Z;d22B;d31Z;d31B;d41Z;d41B;vd13Z;vd13B;vd14Z;vd14B;vd15Z;vd15B;vd16Z;vd16B;vd23Z;vd23B;vd24Z;vd24B;vd42Z;vd42B;sk1Z;sk1B;sk2Z;sk2B;sk3Z;sk3B;tafg31Z;tafg31B;tafb31Z;tafb31B;tafb38Z;tafb38B;tafb41Z;tafb41B;eg11Z;eg11B;eg12Z;eg12B;eg13Z;eg13B;V1StoerZ;V1StoerB;V2StoerZ;V2StoerB;V3StoerZ;V3StoerB;V4StoerZ;V4StoerB;d42Z;d42B
31.05.2024;09:07;A 95;1;1;74;2;51;2;8;2;7;2;2;2;3;235;46;1;0;1;36;0;15;5;7;0;0;2;38;4;8;7;7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:05;A 95;1;0;0;0;0;0;0;2;9;3;4;3;6;278;46;0;21;1;26;0;0;1;1;0;0;0;39;1;30;3;2;1;1;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:03;A 95;1;1;46;3;18;2;7;3;63;8;18;2;53;226;46;1;51;2;60;1;56;3;4;0;0;1;96;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:02;A 95;1;2;59;3;7;3;6;2;7;2;4;3;12;253;51;1;7;5;13;0;4;6;4;1;1;5;14;5;4;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:00;A 95;1;5;17;6;8;4;8;4;20;7;10;5;11;205;42;1;0;1;91;0;0;2;2;1;0;1;7;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:59;A 95;1;0;0;0;0;0;0;2;3;2;1;1;1;218;43;3;3;2;9;3;6;3;2;0;0;1;2;1;0;3;2;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:58;A 95;1;0;0;0;0;0;0;1;68;3;48;4;9;188;49;2;29;0;38;0;31;1;22;0;0;0;34;1;19;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:57;A 95;1;2;86;2;2;2;2;1;86;3;34;2;4;184;48;1;31;3;25;2;31;3;3;1;4;2;43;4;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:56;A 95;1;4;18;6;6;4;5;6;25;9;11;9;18;161;46;5;9;2;7;2;15;2;2;0;0;1;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:36;A 95;1;0;0;1;1;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
