Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;FG35HZ;FG35HB;FG35WZ;FG35WB;TS_SchluesselschalterZ;TS_SchluesselschalterB;TS_WarteZ;TS_WarteB;TS_BrandmeldungZ;TS_BrandmeldungB;D3Z;D3B
31.05.2024;09:08;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;6
31.05.2024;09:07;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4
31.05.2024;09:06;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;12
31.05.2024;09:04;A102;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;6;6
31.05.2024;09:03;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;6
31.05.2024;09:02;A102;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;5;15
31.05.2024;09:01;A102;1;3;3;0;0;0;0;3;1;0;0;0;0;0;0;5;5
31.05.2024;09:00;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;6
31.05.2024;08:59;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
31.05.2024;08:58;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;15
31.05.2024;08:57;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;10;15
31.05.2024;03:38;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
