Datum;Uhrzeit;Bezeichnung;Intervall;HAMP01Z;HAMP01B;ABMP02Z;ABMP02B;HAMP03Z;HAMP03B;ABMP04Z;ABMP04B;T1Z;T1B;T2Z;T2B
31.05.2024;09:08;A 79;1;1;2;1;2;0;0;0;0;0;0;0;0
31.05.2024;09:06;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:04;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:03;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:02;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:01;A 79;1;0;0;0;0;0;0;1;2;0;0;0;0
31.05.2024;09:00;A 79;1;0;0;0;0;1;2;0;0;0;0;0;0
31.05.2024;08:59;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:58;A 79;1;1;2;1;2;0;0;0;0;0;0;0;0
31.05.2024;08:57;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
