Datum;Uhrzeit;Bezeichnung;Intervall;TF32Z;TF32B;TBS32Z;TBS32B;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;ST51Z;ST51B;ST55Z;ST55B
31.05.2024;09:08;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:07;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:05;A112;1;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:04;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0
31.05.2024;09:03;A112;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
31.05.2024;09:01;A112;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:00;A112;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:59;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:58;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:57;A112;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:38;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:34;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
