Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;D51Z;D51B;V52Z;V52B;V81Z;V81B;V82Z;V82B;D83Z;D83B;V91Z;V91B;V92Z;V92B;V101Z;V101B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TF32aZ;TF32aB;TF35Z;TF35B;TF35aZ;TF35aB;TF38Z;TF38B;TF38aZ;TF38aB;TF40Z;TF40B;TF40aZ;TF40aB;TF41Z;TF41B;TF41aZ;TF41aB;V1_4_StoerZ;V1_4_StoerB;V123Z;V123B;V121Z;V121B;V122Z;V122B;V5_StoerZ;V5_StoerB
31.05.2024;09:07;A 67;1;0;0;2;12;0;0;2;30;2;6;1;1;0;0;2;38;3;28;3;69;2;0;2;7;0;30;1;1;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;66;;;;;;;;
31.05.2024;09:05;A 67;1;0;0;1;3;1;4;1;6;1;8;1;18;0;0;4;15;2;4;2;27;3;0;2;11;1;56;1;6;2;7;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;44;;;;;;;;
31.05.2024;09:03;A 67;1;0;0;3;54;1;2;0;0;0;0;0;0;0;0;1;8;0;30;0;100;0;0;0;0;1;28;1;38;1;5;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;96;;;;;;;;
31.05.2024;09:02;A 67;1;0;0;1;55;0;0;1;88;1;87;0;0;0;0;5;25;3;12;6;76;4;0;4;16;1;90;1;7;4;10;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;7;57;;;;;;;;
31.05.2024;09:01;A 67;1;0;0;1;15;0;0;4;53;4;54;2;22;0;0;1;82;5;69;2;69;1;0;1;3;5;60;1;52;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;59;;;;;;;;
31.05.2024;09:00;A 67;1;0;0;2;30;1;3;2;38;2;39;2;19;0;0;5;58;7;23;2;63;5;0;4;17;1;78;2;84;4;10;6;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;95;;;;;;;;
31.05.2024;08:59;A 67;1;0;0;2;69;0;0;2;67;2;66;1;6;0;0;1;33;2;25;4;7;2;0;2;9;3;72;4;31;2;8;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;61;;;;;;;;
31.05.2024;08:58;A 67;1;0;0;0;0;0;0;2;38;2;39;2;16;0;0;5;29;5;6;2;49;2;0;1;7;1;2;1;0;2;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;53;;;;;;;;
31.05.2024;08:57;A 67;1;0;0;3;24;0;0;0;0;0;0;0;0;0;0;5;31;4;13;2;90;3;0;2;12;0;0;1;8;3;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;80;;;;;;;;
31.05.2024;08:56;A 67;1;0;0;0;3;0;0;2;92;2;93;0;15;0;0;2;14;3;4;0;66;1;0;1;3;1;42;1;11;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;61;;;;;;;;
31.05.2024;03:36;A 67;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;10;1;0;1;4;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;;;;;;;;
