Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
31.05.2024;09:08;A 96;1;0;100;0;100;0;0;0;100;0;100;5;6;5;6;0;0;0;0;1;1
31.05.2024;09:06;A 96;1;0;100;0;100;1;63;0;100;0;100;2;5;7;7;0;0;0;0;0;0
31.05.2024;09:04;A 96;1;0;100;0;100;2;67;0;100;0;100;4;4;3;3;0;0;0;0;0;0
31.05.2024;09:03;A 96;1;0;100;0;100;3;68;0;100;0;100;7;9;4;4;0;0;0;0;0;0
31.05.2024;09:02;A 96;1;0;100;0;100;3;96;0;100;0;100;0;0;5;6;0;0;0;0;0;0
31.05.2024;09:01;A 96;1;0;100;0;100;3;5;0;100;0;100;3;4;1;1;0;0;0;0;1;1
31.05.2024;09:00;A 96;1;0;100;0;100;1;15;0;100;0;100;2;3;4;5;0;0;0;0;0;0
31.05.2024;08:59;A 96;1;0;100;0;100;0;100;0;100;0;100;4;5;1;1;0;0;0;0;0;0
31.05.2024;08:58;A 96;1;0;100;0;100;3;72;0;100;0;100;5;8;5;4;0;0;0;0;0;0
31.05.2024;08:57;A 96;1;0;100;0;100;3;80;0;100;0;100;0;0;1;1;1;2;1;2;0;0
31.05.2024;03:38;A 96;1;0;100;0;100;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A 96;1;0;100;0;100;0;0;0;100;0;100;0;0;1;1;0;0;0;0;0;0
