Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
31.05.2024;09:08;A182;1;0;0;3;8;8;82;6;78;0;0;8;44;8;16;0;0
31.05.2024;09:07;A182;1;0;0;3;13;10;36;10;43;0;0;2;64;3;56;0;0
31.05.2024;09:05;A182;1;1;3;8;32;4;10;6;39;0;0;6;45;6;26;2;9
31.05.2024;09:04;A182;1;1;60;4;21;4;22;5;24;0;0;2;94;3;84;2;2
31.05.2024;09:03;A182;1;0;5;3;47;1;18;2;35;0;0;3;50;6;46;0;0
31.05.2024;09:01;A182;1;0;0;1;4;7;22;8;28;0;0;4;58;1;2;1;1
31.05.2024;09:00;A182;1;0;0;0;0;2;75;1;76;0;0;9;70;11;58;0;0
31.05.2024;08:59;A182;1;0;0;3;11;6;52;5;70;0;0;3;37;6;32;0;0
31.05.2024;08:58;A182;1;1;78;3;85;4;28;8;46;0;0;4;80;4;60;0;0
31.05.2024;08:57;A182;1;0;0;0;0;1;2;3;18;0;0;3;49;6;15;1;1
31.05.2024;03:38;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:34;A182;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
