Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
31.05.2024;09:07;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;09:06;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;09:04;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;09:03;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;09:02;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;09:00;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;08:59;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;08:58;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;08:57;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;08:56;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;03:37;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;03:36;A130;1;0;0;0;0;0;0;0;0;;
31.05.2024;03:33;A130;1;0;0;0;0;0;0;0;0;;
