Datum;Uhrzeit;Bezeichnung;Intervall;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;MP54Z;MP54B
31.05.2024;09:07;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;09:06;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;09:04;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;09:03;A113;1;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;
31.05.2024;09:02;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;09:00;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;08:59;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;08:58;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;08:57;A113;1;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
31.05.2024;08:56;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;03:37;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;03:36;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
31.05.2024;03:33;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
