Datum;Uhrzeit;Bezeichnung;Intervall;TF35Z;TF35B;TF35aZ;TF35aB;TF36Z;TF36B;TF36aZ;TF36aB
31.05.2024;09:07;A114;1;0;0;0;0;0;0;0;0
31.05.2024;09:06;A114;1;0;0;0;0;0;0;0;0
31.05.2024;09:04;A114;1;0;0;0;0;0;0;0;0
31.05.2024;09:03;A114;1;0;0;0;0;0;0;0;0
31.05.2024;09:02;A114;1;0;0;0;0;0;0;0;0
31.05.2024;09:00;A114;1;0;0;0;0;0;0;0;0
31.05.2024;08:59;A114;1;0;0;0;0;4;0;0;0
31.05.2024;08:58;A114;1;0;0;0;0;0;0;0;0
31.05.2024;08:57;A114;1;0;0;0;0;0;0;0;0
31.05.2024;08:56;A114;1;0;0;0;0;0;0;0;0
31.05.2024;03:37;A114;1;0;0;0;0;0;0;0;0
31.05.2024;03:36;A114;1;0;0;0;0;0;0;0;0
31.05.2024;03:33;A114;1;0;0;0;0;0;0;0;0
