Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TBS32Z;TBS32B;TF38Z;TF38B;TBS38Z;TBS38B;TBS41Z;TBS41B;VK1_IOZ;VK1_IOB;VK2_IOZ;VK2_IOB;VK3_IOZ;VK3_IOB;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;MP54Z;MP54B;MP55Z;MP55B
31.05.2024;09:07;A 68;1;1;9;3;30;2;7;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;09:05;A 68;1;5;90;0;66;0;36;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;09:03;A 68;1;3;14;1;5;2;52;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;09:02;A 68;1;1;43;1;6;0;29;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;09:01;A 68;1;2;37;4;19;0;100;1;31;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;09:00;A 68;1;6;59;1;8;4;37;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;08:59;A 68;1;3;38;4;47;4;39;1;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;08:58;A 68;1;2;54;1;5;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;08:57;A 68;1;5;65;2;19;0;17;1;24;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;08:56;A 68;1;3;30;3;16;1;89;3;52;1;1;1;1;1;1;1;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
31.05.2024;03:36;A 68;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
