Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V21Z;V21B;V51Z;V51B;V81Z;V81B;V111Z;V111B;V321Z;V321B;T32aZ;T32aB;T32bZ;T32bB;T32b_aZ;T32b_aB;T32b_bZ;T32b_bB;T33b_aZ;T33b_aB;T33b_bZ;T33b_bB;ST51Z;ST51B;ST55Z;ST55B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;V5_StoerZ;V5_StoerB
31.05.2024;09:07;A154;1;0;0;2;12;0;0;1;9;0;0;0;0;0;0;3;33;0;0;4;39;0;0;0;0;0;0;0;0;0;0;1;5;0;0;1;1;0;0
31.05.2024;09:06;A154;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;3;38;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;11;0;0
31.05.2024;09:04;A154;1;0;0;1;5;0;0;1;6;0;0;0;0;0;0;5;24;0;0;3;16;1;1;1;1;1;3;1;2;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:03;A154;1;0;0;2;17;0;0;1;15;0;0;0;0;1;3;3;31;1;3;2;33;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0
31.05.2024;09:02;A154;1;0;0;2;16;0;0;3;23;0;0;0;0;0;0;1;6;0;0;2;12;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0
31.05.2024;09:00;A154;1;0;0;3;17;0;0;2;13;0;0;0;0;0;0;5;35;0;0;6;41;0;0;0;0;0;0;1;0;0;0;2;6;0;0;0;0;0;0
31.05.2024;08:59;A154;1;1;9;1;5;0;0;2;12;0;0;0;0;0;0;1;10;0;0;1;5;0;0;0;0;0;0;0;0;1;1;2;24;0;0;0;0;0;0
31.05.2024;08:58;A154;1;0;0;2;12;1;4;2;14;0;0;0;0;0;0;4;31;0;0;5;34;0;0;0;0;0;0;0;0;0;0;1;24;0;0;0;0;0;0
31.05.2024;08:57;A154;1;0;0;2;12;0;0;1;5;0;0;0;0;0;0;4;20;0;0;2;14;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0
31.05.2024;08:56;A154;1;0;0;2;17;0;0;3;23;0;0;0;0;0;0;1;4;0;0;1;4;0;0;0;0;0;0;0;0;1;1;1;38;0;0;0;0;0;0
31.05.2024;03:37;A154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:36;A154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:33;A154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
