Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D28Z;D28B;D29Z;D29B;D70Z;D70B;H53-Bahn_M1_Z;H53-Bahn_M1_B;A53-Bahn_M2_Z;A53-Bahn_M2_B;H53-Bus_M3_Z;H53-Bus_M3_B;A53-Bus_M4_Z;A53-Bus_M4_B;STRAB_53dZ;STRAB_53dB;STRAB_57dZ;STRAB_57dB;Anf_32Z;Anf_32B;Anf_38Z;Anf_38B;FeuerwehrZ;FeuerwehrB
29.09.2024;19:46;A 12;1;4;4;2;2;2;63;3;37;3;50;6;9;5;13;2;59;4;5;4;24;3;2;6;6;0;100;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
29.09.2024;19:45;A 12;1;2;3;4;3;1;1;1;31;0;0;2;2;2;2;0;0;5;8;3;26;4;4;18;13;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6
29.09.2024;19:44;A 12;1;3;6;7;7;1;45;0;0;0;33;5;3;3;4;1;23;2;2;3;25;2;2;10;53;0;100;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:43;A 12;1;0;0;1;1;2;6;0;0;1;28;5;7;2;2;0;0;1;30;2;16;2;2;10;51;0;100;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
29.09.2024;19:42;A 12;1;1;1;0;0;0;0;1;1;1;1;4;7;2;6;1;19;6;5;6;48;2;2;13;33;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
29.09.2024;19:41;A 12;1;1;1;1;1;1;1;0;0;0;0;4;6;3;4;0;0;4;4;5;71;1;1;6;26;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:40;A 12;1;2;3;1;1;1;2;1;1;0;0;6;5;3;5;2;6;1;1;2;49;1;1;4;15;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:39;A 12;1;0;0;2;2;1;14;1;2;1;1;7;39;2;2;2;50;3;4;1;32;1;2;7;74;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:38;A 12;1;1;1;5;4;0;0;2;2;0;53;1;1;1;2;0;0;5;5;4;38;0;0;9;46;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:36;A 12;1;2;2;3;2;1;2;1;1;3;54;6;14;3;4;0;0;4;31;2;71;2;2;1;83;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
29.09.2024;19:35;A 12;1;2;2;2;1;0;0;1;1;0;100;4;6;1;15;2;2;4;7;2;85;2;2;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
29.09.2024;19:31;A 12;1;4;3;6;4;2;4;0;15;1;46;8;12;4;7;0;0;2;3;0;13;1;1;22;72;0;100;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
29.09.2024;19:30;A 12;1;5;8;4;5;2;33;2;39;0;32;3;2;2;4;2;4;1;0;2;51;3;3;0;100;0;100;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
29.09.2024;19:29;A 12;1;4;5;2;2;0;0;2;5;1;75;1;2;0;0;0;0;1;2;2;57;3;3;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:28;A 12;1;2;3;1;1;0;0;1;45;0;0;6;11;1;2;2;2;4;3;4;70;3;3;0;100;0;100;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:27;A 12;1;2;3;1;1;2;22;1;47;5;50;3;2;2;3;1;14;2;2;2;63;5;6;0;100;0;100;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:26;A 12;1;3;5;3;3;2;52;4;5;1;83;6;6;4;6;2;13;2;3;1;48;1;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
29.09.2024;19:25;A 12;1;2;3;1;1;1;1;1;32;0;30;8;59;3;7;0;0;3;4;6;20;3;3;0;100;0;100;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;3
29.09.2024;19:24;A 12;1;4;23;2;2;2;46;2;47;14;33;3;5;2;3;0;0;3;2;3;5;2;3;24;48;0;100;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:23;A 12;1;2;2;6;7;1;35;2;41;39;48;4;4;3;4;0;0;3;4;1;4;1;1;11;66;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6
29.09.2024;19:22;A 12;1;4;7;1;1;1;4;0;0;1;28;2;2;0;0;2;2;0;0;2;4;5;4;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:21;A 12;1;4;18;2;2;1;1;0;0;1;0;6;6;3;3;1;1;5;5;5;85;8;7;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.09.2024;19:20;A 12;1;5;6;6;5;0;12;3;41;3;2;9;11;3;4;1;1;1;2;1;13;4;4;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
29.09.2024;19:19;A 12;1;4;13;3;3;2;93;3;38;3;35;3;23;2;25;1;17;3;3;3;53;5;5;0;100;0;100;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0
29.09.2024;19:18;A 12;1;5;11;1;1;2;60;1;2;3;42;5;15;4;7;0;0;5;5;8;40;1;1;0;100;0;100;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
