Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;HH51_M1_4501Z;HH51_M1_4501B;AH51_M2_4502Z;AH51_M2_4502B;HH55_M3_2137Z;HH55_M3_2137B;AH55_M4_2138Z;AH55_M4_2138B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D10Z;D10B;21Z;21B;22Z;22B;23Z;23B;24Z;24B;25Z;25B;26Z;26B;27Z;27B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
29.09.2024;19:46;A 13;1;0;100;0;100;0;0;3;36;4;7;3;86;1;1;7;37;2;59;0;0;4;85;3;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:45;A 13;1;0;100;0;100;1;7;4;23;1;2;2;78;0;36;1;1;1;48;4;6;2;49;1;80;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:44;A 13;1;0;100;0;100;1;96;4;9;3;4;3;84;4;53;1;1;2;70;2;3;6;13;3;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:43;A 13;1;0;100;0;100;0;0;6;37;3;7;4;88;1;1;1;3;1;14;0;0;4;18;2;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:42;A 13;1;0;100;0;100;1;49;3;38;1;2;3;89;0;0;4;5;2;59;3;1;6;6;2;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:41;A 13;1;0;100;0;100;2;35;4;68;3;6;4;82;3;5;1;2;1;38;0;0;3;5;3;37;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:40;A 13;1;0;100;0;100;0;0;3;91;5;9;1;73;0;0;1;1;1;83;3;5;4;17;3;83;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:39;A 13;1;0;100;0;100;1;24;2;64;2;5;2;66;0;0;2;6;1;7;0;0;4;24;3;46;2;42;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:38;A 13;1;0;100;0;100;1;54;3;86;5;37;3;62;2;2;5;5;0;0;0;0;3;5;1;26;1;22;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:36;A 13;1;0;100;0;100;0;0;5;9;3;3;2;53;1;2;5;14;0;12;0;0;4;42;1;48;1;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:35;A 13;1;0;100;0;100;2;74;5;11;2;2;4;88;2;3;3;18;1;6;0;0;6;18;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
29.09.2024;19:31;A 13;1;0;100;0;100;2;21;1;77;4;79;2;76;2;45;3;45;1;66;0;0;7;48;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
