Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
11.02.2025;11:48;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:47;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:46;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:45;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:44;A130;1;4;23;0;0;12;4;0;0;;
11.02.2025;11:43;A130;1;0;0;1;0;0;0;2;1;;
11.02.2025;11:42;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:41;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:40;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:39;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:38;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:37;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:36;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:35;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:34;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:33;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:32;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:31;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:30;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:29;A130;1;0;0;0;0;2;1;0;0;;
11.02.2025;11:28;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:27;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:26;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:25;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:24;A130;1;3;0;0;0;0;0;0;0;;
11.02.2025;11:23;A130;1;0;0;0;0;0;0;0;0;;
11.02.2025;11:22;A130;1;0;0;0;0;0;0;0;0;;
