Datum;Uhrzeit;Bezeichnung;Intervall;TF35Z;TF35B;TF35aZ;TF35aB;TF36Z;TF36B;TF36aZ;TF36aB
06.08.2024;11:47;A114;1;0;0;0;0;0;0;0;0
06.08.2024;10:53;A114;1;0;0;0;0;0;0;0;0
06.08.2024;10:52;A114;1;0;0;0;0;0;0;0;0
06.08.2024;10:51;A114;1;0;0;0;0;0;0;0;0
