Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;H51_A74/M1S_493Z;H51_A74/M1S_493B;A51_M1S_494Z;A51_M1S_494B;H55_A30/M3S_504Z;H55_A30/M3S_504B;A55_M3S_505Z;A55_M3S_505B;H54_M3SL_1289Z;H54_M3SL_1289B;A54_M4SL_506Z;A54_M4SL_506B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
17.01.2025;00:49;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
17.01.2025;00:29;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
17.01.2025;00:10;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;23:59;A110;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;23:46;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;23:39;A110;1;0;0;1;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;23:32;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;23:28;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;18:02;A110;1;2;3;1;1;4;5;0;0;0;0;1;2;1;2;0;0;1;2;;;;;0;0;0;0;0;0
16.01.2025;18:01;A110;1;2;3;9;13;7;46;0;0;1;2;0;0;1;2;1;2;0;0;;;;;0;0;0;0;0;0
16.01.2025;18:00;A110;1;1;1;1;1;12;12;1;2;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:59;A110;1;1;0;5;12;10;48;1;2;0;0;0;0;0;1;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:58;A110;1;0;0;0;0;7;34;0;0;0;0;0;0;2;2;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:57;A110;1;1;1;7;10;6;21;0;0;0;0;2;3;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:56;A110;1;1;2;1;1;11;35;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:55;A110;1;2;6;5;29;11;23;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:54;A110;1;3;3;4;6;9;16;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:53;A110;1;1;1;4;17;6;29;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:52;A110;1;2;2;4;17;7;75;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:51;A110;1;0;0;0;0;3;6;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:50;A110;1;0;0;3;6;6;8;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:49;A110;1;0;0;6;21;10;11;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:48;A110;1;0;0;3;4;7;14;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:47;A110;1;1;1;6;10;7;37;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:46;A110;1;0;0;5;8;5;50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:45;A110;1;0;0;4;4;6;17;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:44;A110;1;0;0;2;3;13;20;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:43;A110;1;2;2;6;9;11;54;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:42;A110;1;3;5;3;13;3;21;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:41;A110;1;2;3;3;5;6;9;0;0;0;0;2;3;0;0;1;2;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:40;A110;1;0;0;2;20;9;74;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:39;A110;1;1;2;3;5;4;26;1;2;1;2;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:38;A110;1;2;3;4;9;6;10;0;0;0;0;2;3;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:37;A110;1;0;0;5;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:36;A110;1;0;0;1;2;8;22;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:35;A110;1;1;1;4;7;8;51;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:34;A110;1;0;0;4;11;2;3;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:33;A110;1;0;0;2;26;5;9;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:32;A110;1;1;2;7;75;11;34;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:31;A110;1;2;3;5;72;12;17;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:30;A110;1;1;2;4;38;4;70;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:29;A110;1;0;0;1;0;4;52;1;2;1;2;0;2;1;2;0;0;1;2;;;;;0;0;0;0;0;0
16.01.2025;17:28;A110;1;0;0;2;2;8;11;0;0;1;2;1;0;1;2;1;2;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:27;A110;1;1;1;2;3;3;9;1;2;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:26;A110;1;1;0;4;26;6;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:25;A110;1;1;2;4;4;7;16;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:24;A110;1;1;2;1;1;5;7;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:23;A110;1;1;2;1;1;3;34;0;0;0;0;0;0;0;0;0;0;1;2;;;;;0;0;0;0;0;0
16.01.2025;17:22;A110;1;2;1;2;3;7;71;0;0;0;0;0;0;1;2;1;2;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:21;A110;1;0;0;6;57;6;73;0;0;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:20;A110;1;0;0;4;29;7;37;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:19;A110;1;1;0;7;29;8;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:18;A110;1;0;0;2;3;5;24;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
16.01.2025;17:17;A110;1;0;0;4;13;5;79;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
