Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;Anf_35Z;Anf_35B;Anf_41Z;Anf_41B
16.01.2025;17:29;A 70;1;1;20;4;11;4;9;11;63;6;5;0;0;1;67;0;100;1;21;0;0;0;0;;;;;;;;;;
16.01.2025;17:28;A 70;1;3;2;5;84;4;90;14;53;6;11;0;0;2;53;0;100;3;4;0;0;0;0;;;;;;;;;;
16.01.2025;17:27;A 70;1;0;0;3;58;2;67;11;67;4;82;0;0;5;32;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:26;A 70;1;0;0;1;73;1;72;24;39;4;8;0;0;1;2;0;100;1;2;0;0;0;0;;;;;;;;;;
16.01.2025;17:25;A 70;1;0;0;1;39;5;40;10;60;1;1;0;0;3;53;0;100;2;23;0;0;0;0;;;;;;;;;;
16.01.2025;17:24;A 70;1;0;0;4;18;3;20;1;70;1;1;0;0;7;25;0;100;1;75;1;2;1;2;;;;;;;;;;
16.01.2025;17:23;A 70;1;0;0;4;36;4;48;7;83;2;5;0;0;2;55;0;100;1;1;1;2;1;2;;;;;;;;;;
16.01.2025;17:22;A 70;1;0;0;1;2;3;49;6;11;2;2;0;0;2;80;0;100;3;6;0;0;0;0;;;;;;;;;;
16.01.2025;17:21;A 70;1;0;25;4;30;5;51;4;33;1;2;0;0;6;36;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:20;A 70;1;1;65;3;52;2;53;12;70;5;4;0;0;3;3;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:19;A 70;1;0;0;2;78;1;91;14;55;5;3;0;0;5;87;0;100;4;3;0;0;0;0;;;;;;;;;;
16.01.2025;17:18;A 70;1;0;0;1;18;4;76;8;83;5;4;0;0;8;42;0;100;1;65;0;0;0;0;;;;;;;;;;
16.01.2025;17:17;A 70;1;1;2;1;3;1;66;6;60;3;2;0;0;6;51;0;100;4;7;0;0;0;0;;;;;;;;;;
16.01.2025;17:16;A 70;1;0;0;8;86;2;86;11;28;6;3;0;0;7;81;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;17:15;A 70;1;0;0;3;28;2;30;6;25;1;1;0;0;1;25;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:14;A 70;1;1;2;3;57;5;79;8;11;9;7;0;0;2;74;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:13;A 70;1;1;58;2;77;3;74;11;21;1;0;0;0;5;71;0;100;2;52;0;0;0;0;;;;;;;;;;
16.01.2025;17:12;A 70;1;1;11;7;13;9;13;6;61;2;2;0;0;2;5;0;100;3;94;0;0;0;0;;;;;;;;;;
16.01.2025;17:11;A 70;1;1;57;4;20;4;18;10;13;4;3;0;0;3;29;0;100;2;95;1;2;1;2;;;;;;;;;;
16.01.2025;17:10;A 70;1;1;29;2;55;3;93;11;48;2;1;0;0;5;66;0;100;3;79;0;0;0;0;;;;;;;;;;
16.01.2025;17:09;A 70;1;2;49;1;62;3;58;11;23;7;6;0;0;3;70;0;100;4;10;1;2;1;2;;;;;;;;;;
16.01.2025;17:08;A 70;1;1;2;3;25;3;3;6;65;7;4;0;0;3;66;0;100;2;46;0;0;0;0;;;;;;;;;;
16.01.2025;17:07;A 70;1;0;67;4;66;4;66;10;18;4;4;0;0;0;0;0;100;1;4;0;0;0;0;;;;;;;;;;
16.01.2025;17:06;A 70;1;1;34;4;33;1;24;4;18;2;2;0;0;8;42;0;100;2;32;0;0;0;0;;;;;;;;;;
16.01.2025;17:05;A 70;1;1;30;1;96;1;23;3;3;0;0;0;0;1;78;0;100;2;18;0;0;0;0;;;;;;;;;;
16.01.2025;17:04;A 70;1;2;59;3;78;1;83;3;3;0;0;0;0;3;81;0;100;1;15;0;0;0;0;;;;;;;;;;
16.01.2025;17:03;A 70;1;0;0;5;36;1;42;7;14;1;0;0;0;6;35;0;100;1;23;0;0;0;0;;;;;;;;;;
16.01.2025;17:02;A 70;1;0;0;1;58;2;57;9;14;3;3;0;0;6;84;0;100;2;31;0;0;0;0;;;;;;;;;;
16.01.2025;17:01;A 70;1;0;34;1;30;3;72;10;14;1;1;0;0;3;52;0;100;2;23;0;0;1;2;;;;;;;;;;
16.01.2025;17:00;A 70;1;1;1;1;27;3;76;8;14;3;2;0;0;1;25;0;100;4;14;1;2;0;0;;;;;;;;;;
16.01.2025;16:59;A 70;1;0;0;2;23;4;44;7;9;4;4;0;0;1;50;0;100;4;52;0;0;0;0;;;;;;;;;;
16.01.2025;16:58;A 70;1;0;0;5;30;2;81;15;24;9;7;0;0;6;88;0;100;3;26;0;0;0;0;;;;;;;;;;
16.01.2025;16:57;A 70;1;1;1;4;5;7;32;1;7;2;2;0;0;10;20;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;16:56;A 70;1;0;98;1;98;0;99;8;13;1;2;0;0;1;99;0;100;2;1;0;0;0;0;;;;;;;;;;
16.01.2025;16:55;A 70;1;1;32;2;55;2;47;13;51;2;1;0;0;2;63;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;16:54;A 70;1;1;11;3;32;3;17;10;43;2;45;0;0;3;35;0;100;1;6;1;2;1;2;;;;;;;;;;
16.01.2025;16:53;A 70;1;1;1;0;100;0;66;7;12;3;3;0;0;0;100;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;16:52;A 70;1;0;0;5;76;3;26;11;64;1;42;0;0;3;87;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;16:51;A 70;1;1;24;4;47;3;63;5;52;1;1;0;0;1;44;0;100;0;0;0;0;1;2;;;;;;;;;;
16.01.2025;16:50;A 70;1;2;8;1;91;1;93;12;69;6;9;0;0;7;52;0;100;1;39;0;0;0;0;;;;;;;;;;
16.01.2025;16:49;A 70;1;0;0;2;11;3;44;15;52;4;6;0;0;5;91;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;16:48;A 70;1;3;29;10;39;6;30;6;59;1;0;0;0;8;39;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;16:47;A 70;1;0;100;0;100;1;49;13;15;3;2;0;0;0;100;0;100;5;42;0;0;0;0;;;;;;;;;;
16.01.2025;16:46;A 70;1;1;29;1;72;0;0;22;34;9;7;0;0;1;74;0;100;3;63;0;0;0;0;;;;;;;;;;
16.01.2025;16:45;A 70;1;1;2;5;24;5;32;8;84;8;8;0;0;3;6;0;100;1;17;0;0;0;0;;;;;;;;;;
16.01.2025;16:44;A 70;1;0;0;4;43;3;40;11;79;2;70;0;0;3;10;0;100;1;60;0;0;1;2;;;;;;;;;;
16.01.2025;16:43;A 70;1;0;0;6;90;3;77;11;15;5;12;0;0;1;58;0;100;1;24;1;2;0;0;;;;;;;;;;
16.01.2025;16:42;A 70;1;1;30;10;64;4;80;4;49;1;1;0;0;2;27;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;16:41;A 70;1;1;54;1;73;1;70;10;25;0;0;0;0;1;27;0;100;2;7;0;0;0;0;;;;;;;;;;
16.01.2025;16:40;A 70;1;1;1;4;49;5;59;4;29;0;0;0;0;3;5;0;100;2;64;0;0;1;2;;;;;;;;;;
16.01.2025;16:39;A 70;1;2;29;4;52;5;66;5;37;2;2;0;0;8;41;0;100;2;23;1;2;0;0;;;;;;;;;;
16.01.2025;16:38;A 70;1;1;68;4;89;5;82;7;52;3;5;0;0;0;100;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;16:37;A 70;1;2;4;3;85;1;85;10;68;0;12;0;0;3;48;0;100;0;11;0;0;0;0;;;;;;;;;;
16.01.2025;16:36;A 70;1;3;5;11;44;8;56;3;7;6;45;0;0;4;35;0;100;3;22;0;0;0;0;;;;;;;;;;
16.01.2025;16:35;A 70;1;1;68;1;28;1;89;14;45;12;9;0;0;1;94;0;100;4;4;0;0;0;0;;;;;;;;;;
16.01.2025;16:34;A 70;1;1;47;3;6;4;7;8;75;3;2;0;0;7;55;0;100;0;0;1;2;1;2;;;;;;;;;;
16.01.2025;16:33;A 70;1;3;6;3;32;2;50;2;84;3;2;0;0;8;50;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;16:32;A 70;1;0;0;6;61;6;11;7;63;5;5;0;0;2;66;0;100;2;47;0;0;0;0;;;;;;;;;;
16.01.2025;16:31;A 70;1;0;76;3;77;4;83;9;32;9;8;0;0;2;75;0;100;4;44;0;0;0;0;;;;;;;;;;
16.01.2025;16:30;A 70;1;1;6;3;27;0;25;9;44;7;5;0;0;8;58;0;100;3;2;0;0;0;0;;;;;;;;;;
16.01.2025;16:29;A 70;1;0;0;1;8;1;9;2;2;2;1;0;0;1;76;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;16:28;A 70;1;2;23;3;63;1;75;9;15;5;4;0;0;4;71;0;100;3;3;0;0;0;0;;;;;;;;;;
16.01.2025;16:27;A 70;1;1;2;2;28;1;77;7;9;6;5;0;0;3;28;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;16:26;A 70;1;1;2;1;45;2;49;8;15;4;16;0;0;1;70;0;100;2;34;0;0;0;0;;;;;;;;;;
16.01.2025;16:25;A 70;1;0;0;4;60;5;69;12;21;6;28;0;0;9;57;0;100;2;27;1;2;1;2;;;;;;;;;;
16.01.2025;16:24;A 70;1;0;26;3;31;1;49;9;68;1;98;0;0;7;35;0;100;2;1;0;0;0;0;;;;;;;;;;
16.01.2025;16:23;A 70;1;1;41;1;56;1;57;19;57;7;39;0;0;1;60;0;100;3;4;0;0;0;0;;;;;;;;;;
16.01.2025;16:22;A 70;1;1;2;5;73;4;64;13;64;4;3;0;0;6;65;0;100;1;16;0;0;0;0;;;;;;;;;;
16.01.2025;16:21;A 70;1;0;0;4;65;1;76;10;82;6;7;0;0;3;67;0;100;2;30;1;2;1;2;;;;;;;;;;
16.01.2025;16:20;A 70;1;0;0;2;3;4;83;9;73;3;3;0;0;3;10;0;100;1;3;0;0;0;0;;;;;;;;;;
16.01.2025;16:19;A 70;1;0;0;2;5;3;33;8;66;3;2;0;0;6;17;0;100;1;1;1;2;1;2;;;;;;;;;;
16.01.2025;16:18;A 70;1;0;0;6;37;6;48;7;75;5;4;0;0;3;31;0;100;2;22;0;0;0;0;;;;;;;;;;
16.01.2025;16:17;A 70;1;0;0;1;84;1;70;2;2;1;0;0;0;1;78;0;100;6;5;0;0;0;0;;;;;;;;;;
16.01.2025;16:16;A 70;1;0;0;2;41;3;88;11;16;5;4;0;0;2;79;0;100;1;0;0;0;0;0;;;;;;;;;;
16.01.2025;16:15;A 70;1;1;2;8;36;6;69;4;4;5;3;0;0;5;55;0;100;1;4;0;0;0;0;;;;;;;;;;
16.01.2025;16:14;A 70;1;1;2;3;68;5;71;14;44;9;9;0;0;2;2;0;100;7;4;0;0;0;0;;;;;;;;;;
16.01.2025;16:13;A 70;1;2;2;6;87;3;95;7;8;3;2;0;0;5;60;0;100;5;3;0;0;0;0;;;;;;;;;;
16.01.2025;16:12;A 70;1;1;2;13;69;3;91;4;33;0;0;0;0;7;45;0;100;3;68;0;0;0;0;;;;;;;;;;
16.01.2025;16:11;A 70;1;0;0;1;91;1;99;12;42;4;5;0;0;1;93;0;100;1;19;0;0;0;0;;;;;;;;;;
16.01.2025;16:10;A 70;1;1;2;5;53;6;12;7;63;2;2;0;0;3;4;0;100;1;86;1;2;1;2;;;;;;;;;;
16.01.2025;16:09;A 70;1;2;5;7;47;6;50;4;6;4;3;0;0;4;35;0;100;3;82;0;0;0;0;;;;;;;;;;
16.01.2025;16:08;A 70;1;0;0;0;100;1;55;13;30;9;7;0;0;0;100;0;100;2;1;0;0;0;0;;;;;;;;;;
16.01.2025;16:07;A 70;1;2;53;6;67;3;4;5;24;2;2;0;0;7;79;0;100;2;13;0;0;0;0;;;;;;;;;;
16.01.2025;16:06;A 70;1;0;0;3;8;3;56;6;9;1;1;0;0;4;92;0;100;2;36;0;0;0;0;;;;;;;;;;
16.01.2025;16:05;A 70;1;1;1;4;5;6;4;2;58;1;1;0;0;2;7;0;100;1;60;0;0;0;0;;;;;;;;;;
16.01.2025;16:04;A 70;1;0;0;4;81;3;2;16;57;4;4;0;0;3;19;0;100;2;23;0;0;0;0;;;;;;;;;;
16.01.2025;16:03;A 70;1;2;3;6;22;8;48;5;72;2;81;0;0;2;26;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;16:02;A 70;1;0;0;4;7;4;45;11;50;4;47;0;0;1;24;0;100;2;15;0;0;0;0;;;;;;;;;;
16.01.2025;16:01;A 70;1;1;79;2;80;5;94;4;8;4;7;0;0;2;72;0;100;3;2;1;2;1;2;;;;;;;;;;
16.01.2025;16:00;A 70;1;1;7;4;12;3;53;5;8;1;23;0;0;6;31;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:59;A 70;1;0;0;0;0;1;34;9;10;4;3;0;0;2;72;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;15:58;A 70;1;1;75;3;81;4;89;3;3;2;2;0;0;2;79;0;100;1;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:57;A 70;1;1;29;3;67;1;52;8;59;5;4;0;0;4;73;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:56;A 70;1;1;13;2;47;2;45;9;29;3;2;0;0;2;36;0;100;1;28;0;0;1;2;;;;;;;;;;
16.01.2025;15:55;A 70;1;0;0;7;84;2;86;6;8;4;3;0;0;2;3;0;100;1;0;1;2;0;0;;;;;;;;;;
16.01.2025;15:54;A 70;1;0;25;2;28;2;88;14;28;2;5;0;0;3;30;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:53;A 70;1;2;7;6;23;3;64;10;38;6;7;0;0;4;62;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;15:52;A 70;1;1;2;3;55;4;48;6;7;6;4;0;0;1;21;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:51;A 70;1;1;33;3;29;6;4;6;15;4;3;0;0;9;40;0;100;3;71;1;2;1;2;;;;;;;;;;
16.01.2025;15:50;A 70;1;1;87;1;19;1;3;12;39;9;6;0;0;1;86;0;100;1;3;0;0;0;0;;;;;;;;;;
16.01.2025;15:49;A 70;1;1;2;3;42;2;49;13;50;8;7;0;0;4;83;0;100;2;1;0;0;0;0;;;;;;;;;;
16.01.2025;15:48;A 70;1;1;22;3;28;5;46;8;65;5;3;0;0;4;36;0;100;3;33;0;0;0;0;;;;;;;;;;
16.01.2025;15:47;A 70;1;2;50;4;11;5;80;8;10;8;53;0;0;3;60;0;100;4;3;0;0;0;0;;;;;;;;;;
16.01.2025;15:46;A 70;1;0;0;4;85;5;88;3;4;5;30;0;0;4;59;0;100;4;3;0;0;0;0;;;;;;;;;;
