Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
17.01.2025;00:49;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2025;00:29;A 96;1;0;100;0;100;0;0;0;0;0;0;3;7;4;9;0;0;0;0;0;0
17.01.2025;00:10;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
16.01.2025;23:59;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0
16.01.2025;23:46;A 96;1;0;100;0;100;0;0;0;0;0;54;0;0;1;1;0;0;0;0;0;0
16.01.2025;23:39;A 96;1;0;100;0;100;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0
16.01.2025;23:32;A 96;1;0;100;0;100;1;56;1;33;2;10;0;0;1;1;0;0;0;0;0;0
16.01.2025;23:28;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
16.01.2025;18:03;A 96;1;0;100;0;100;2;68;0;61;2;28;2;2;5;4;0;0;0;0;0;0
16.01.2025;18:02;A 96;1;0;100;0;100;8;36;1;24;1;1;7;7;12;22;0;0;0;0;0;0
16.01.2025;18:01;A 96;1;0;100;0;100;1;91;1;8;0;0;6;5;11;13;0;0;0;0;0;0
16.01.2025;18:00;A 96;1;0;100;0;100;3;67;0;0;2;22;3;3;2;2;0;0;0;0;1;2
16.01.2025;17:59;A 96;1;0;100;0;100;6;61;3;5;5;20;3;4;3;3;1;2;1;2;1;2
16.01.2025;17:58;A 96;1;0;100;0;100;1;86;0;0;1;71;8;7;12;10;0;0;0;0;0;0
16.01.2025;17:57;A 96;1;0;100;0;100;11;74;1;1;1;58;6;11;5;7;0;0;0;0;1;2
16.01.2025;17:56;A 96;1;0;100;0;100;10;68;3;4;3;13;5;4;5;5;0;0;0;0;1;1
16.01.2025;17:55;A 96;1;0;100;0;100;0;100;0;0;1;82;6;11;7;9;0;0;0;0;0;0
16.01.2025;17:54;A 96;1;0;100;0;100;5;75;2;61;2;30;8;10;6;5;0;0;0;0;2;5
16.01.2025;17:53;A 96;1;0;100;0;100;7;75;1;29;2;12;9;15;16;23;0;0;0;0;0;0
16.01.2025;17:52;A 96;1;0;100;0;100;1;90;1;69;0;100;4;3;6;6;0;0;0;0;1;1
16.01.2025;17:51;A 96;1;0;100;0;100;8;66;4;61;5;58;8;12;5;5;0;0;0;0;1;2
16.01.2025;17:50;A 96;1;0;100;0;100;6;18;1;9;1;11;7;7;4;4;0;0;0;0;1;2
16.01.2025;17:49;A 96;1;0;100;0;100;1;70;1;95;1;93;5;5;7;10;0;0;0;0;0;0
16.01.2025;17:48;A 96;1;0;100;0;100;9;71;2;4;4;68;5;4;4;4;0;0;0;0;0;0
16.01.2025;17:47;A 96;1;0;100;0;100;5;90;1;10;3;53;3;2;9;10;0;0;0;0;0;0
16.01.2025;17:46;A 96;1;0;100;0;100;0;100;0;100;2;41;4;3;10;10;0;0;0;0;0;0
16.01.2025;17:45;A 96;1;0;100;0;100;8;83;3;64;6;69;4;3;6;5;0;0;0;0;0;0
16.01.2025;17:44;A 96;1;0;100;0;100;4;62;1;4;1;56;11;9;11;11;0;0;0;0;0;0
16.01.2025;17:43;A 96;1;0;100;0;100;0;100;0;0;1;47;3;3;7;7;0;0;1;2;1;1
16.01.2025;17:42;A 96;1;0;100;0;100;3;82;0;0;0;0;6;6;4;4;1;2;0;0;0;0
16.01.2025;17:41;A 96;1;0;100;0;100;10;64;0;0;4;15;6;6;8;8;0;0;0;0;1;2
16.01.2025;17:40;A 96;1;0;100;0;100;0;100;0;0;0;100;13;14;9;8;0;0;0;0;2;3
16.01.2025;17:39;A 96;1;0;100;0;100;9;83;0;57;2;67;4;10;7;9;0;0;0;0;0;0
16.01.2025;17:38;A 96;1;0;100;0;100;7;38;3;41;4;35;5;3;10;10;0;0;0;0;0;0
16.01.2025;17:37;A 96;1;0;100;0;100;1;94;1;47;0;100;11;15;9;8;0;0;0;0;0;0
16.01.2025;17:36;A 96;1;0;100;0;100;5;67;1;62;3;67;5;6;3;3;0;0;0;0;0;0
