Datum;Uhrzeit;Bezeichnung;Intervall;H51_A9/M2_510Z;H51_A9/M2_510B;A51_M1_492Z;A51_M1_492B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_513Z;A55_M2_513B;H55_A110/M3UmlXZ;H55_A110/M3UmlXB;Anf_32Z;Anf_32B
24.10.2024;02:00;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:59;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:58;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:57;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:56;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:55;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:54;A135;1;0;0;0;0;0;0;1;9;0;0;0;0
24.10.2024;01:53;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:52;A135;1;0;0;1;8;0;0;0;0;0;0;0;0
24.10.2024;01:51;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:50;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:49;A135;1;0;0;0;0;0;0;2;13;0;0;0;0
24.10.2024;01:48;A135;1;0;0;0;0;0;0;1;15;0;0;0;0
24.10.2024;01:47;A135;1;0;0;1;15;0;0;1;12;1;4;0;0
24.10.2024;01:46;A135;1;0;0;0;0;0;0;1;1;0;0;0;0
24.10.2024;01:45;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:44;A135;1;0;0;0;0;0;0;1;10;0;0;0;0
24.10.2024;01:43;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:42;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:41;A135;1;0;0;0;0;0;0;1;8;0;0;0;0
24.10.2024;01:40;A135;1;0;0;1;7;0;0;1;10;0;0;0;0
24.10.2024;01:39;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:38;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:37;A135;1;0;0;1;11;0;0;1;18;0;0;0;0
24.10.2024;01:36;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:35;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:34;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:33;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:32;A135;1;0;0;1;9;0;0;1;16;0;0;0;0
24.10.2024;01:31;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:30;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:29;A135;1;0;0;1;11;0;0;1;8;0;0;0;0
24.10.2024;01:28;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:27;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:26;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:25;A135;1;0;0;2;9;0;0;1;24;0;0;0;0
24.10.2024;01:24;A135;1;0;0;1;14;0;0;1;12;0;0;0;0
24.10.2024;01:23;A135;1;0;0;0;0;0;0;1;9;0;0;0;0
24.10.2024;01:22;A135;1;0;0;0;0;0;0;1;9;0;0;0;0
24.10.2024;01:21;A135;1;0;0;0;0;0;0;1;8;0;0;0;0
24.10.2024;01:20;A135;1;0;0;1;13;0;0;0;0;0;0;0;0
24.10.2024;01:19;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
24.10.2024;01:18;A135;1;0;0;0;0;1;2;1;11;0;0;0;0
24.10.2024;01:17;A135;1;0;0;1;18;0;0;0;0;0;0;0;0
