Datum;Uhrzeit;Bezeichnung;Intervall;V33Z;V33B;V34Z;V34B;V51Z;V51B;V52Z;V52B;D71Z;D71B;V111Z;V111B;V112Z;V112B;D121Z;D121B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B;T6Z;T6B;T7Z;T7B;V10Z;V10B;V20Z;V20B;D11Z;D11B;D12Z;D12B;D31Z;D31B;D32Z;D32B;V122Z;V122B
01.12.2024;01:00;A 94;1;0;0;0;0;1;1;0;0;0;0;2;6;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;1;0;0;0;0;0;0
01.12.2024;00:59;A 94;1;0;0;0;0;6;12;1;2;0;0;1;2;0;0;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;6;7
01.12.2024;00:58;A 94;1;0;0;0;0;5;10;1;3;0;0;8;13;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;5;5;1;1;0;0;0;0;1;0
01.12.2024;00:57;A 94;1;0;0;0;0;4;10;3;5;0;0;2;2;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;3;2;0;0;0;0;0;0
01.12.2024;00:56;A 94;1;0;0;0;0;1;2;0;0;0;0;8;9;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;6;3;1;0;0;0;0;2;4
01.12.2024;00:55;A 94;1;0;0;0;0;10;25;2;7;0;0;7;8;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;1;0;0;0;0;3;4
01.12.2024;00:54;A 94;1;1;4;0;0;1;2;0;0;0;0;3;5;0;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;2;1;1;29;0;0;3;2
01.12.2024;00:53;A 94;1;0;0;0;0;2;6;1;3;0;0;6;10;2;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;5;2;2;0;0;0;0;3;2
01.12.2024;00:52;A 94;1;0;0;0;0;5;10;5;13;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0
01.12.2024;00:51;A 94;1;0;0;2;7;2;4;3;20;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;0;0;1;9;0;0
01.12.2024;00:50;A 94;1;0;0;0;0;7;10;1;1;0;0;6;14;4;8;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;3;3;2;2;0;0;0;0;1;5
01.12.2024;00:49;A 94;1;0;0;0;0;1;6;1;13;0;0;2;5;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;3;6
01.12.2024;00:48;A 94;1;0;0;0;0;4;35;0;0;0;0;6;11;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;3;2;0;0;0;0;3;2
01.12.2024;00:47;A 94;1;0;0;0;0;5;5;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;5;3;0;0;0;0;0;0
01.12.2024;00:46;A 94;1;2;2;1;43;5;11;1;6;0;0;4;9;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;2;1;1;2;2;36;3;3
01.12.2024;00:45;A 94;1;3;9;0;0;0;0;2;11;0;0;7;13;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;4;5;5;1;13;0;0;0;0
01.12.2024;00:44;A 94;1;0;0;0;0;7;12;2;11;0;0;8;12;6;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;5;5;1;1;0;0;0;0;4;2
01.12.2024;00:43;A 94;1;0;0;0;0;7;9;2;3;0;0;10;19;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;2;5;5;2;2;0;0;0;0;3;2
01.12.2024;00:42;A 94;1;0;0;0;0;2;5;3;4;0;0;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;4;4;3;0;0;1;17;0;0
01.12.2024;00:41;A 94;1;0;0;3;10;2;8;4;6;0;0;4;9;1;2;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;2;4;4;2;2;0;0;0;0;3;2
01.12.2024;00:40;A 94;1;4;10;5;12;2;1;1;5;0;0;9;17;1;3;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;5;5;1;1;1;14;2;19;1;7
01.12.2024;00:39;A 94;1;1;6;0;0;5;14;0;0;0;0;5;8;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;2;4;4;1;1;1;10;0;0;7;6
01.12.2024;00:38;A 94;1;0;0;0;0;11;22;3;3;0;0;6;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;1;1;0;0;0;0;0;0
01.12.2024;00:37;A 94;1;0;0;0;0;2;4;1;3;0;0;4;5;1;3;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;1;1;0;21;0;0;3;2
01.12.2024;00:36;A 94;1;5;12;0;0;3;7;1;2;0;0;6;9;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;3;2;2;14;0;0;1;0
01.12.2024;00:35;A 94;1;0;0;0;0;4;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;1;1;0;0;0;0;0;0;0;0
01.12.2024;00:34;A 94;1;0;0;0;0;3;10;3;9;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;1;0;0;0;0;0;0;0;0
01.12.2024;00:33;A 94;1;1;9;0;0;0;1;1;6;0;0;3;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;2;2;1;4;0;0;0;0
01.12.2024;00:32;A 94;1;0;0;0;0;2;7;0;0;0;0;3;6;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;1;1;0;0;0;0;0;0;3;9
01.12.2024;00:31;A 94;1;0;0;3;7;2;5;1;4;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;1;1;1;1;1;11;1;13;0;0
01.12.2024;00:30;A 94;1;3;7;0;0;3;37;2;10;0;0;2;7;1;2;3;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;3;3;2;1;1;32;0;0;6;5
01.12.2024;00:29;A 94;1;0;0;0;0;5;11;2;2;0;0;5;7;1;2;1;3;0;0;0;0;0;0;0;1;1;2;1;2;0;0;0;0;0;0;3;2;2;4;1;3;0;0;0;0;5;5
01.12.2024;00:28;A 94;1;0;0;0;0;4;21;3;10;0;0;1;3;0;0;1;20;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;3;2;1;2;1;1;0;0;0;0;3;3
01.12.2024;00:27;A 94;1;0;0;0;0;1;5;1;5;0;0;11;19;1;3;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;7;3;2;0;0;0;0;3;2
01.12.2024;00:26;A 94;1;4;15;0;0;3;8;0;0;0;0;5;9;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;3;2;2;2;21;0;0;3;4
01.12.2024;00:25;A 94;1;0;0;0;0;4;7;1;3;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;4;3;2;0;0;0;0;0;0
01.12.2024;00:24;A 94;1;0;0;0;0;6;21;1;2;0;0;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;1;1;0;11;0;0;0;0
01.12.2024;00:23;A 94;1;2;7;0;0;5;11;4;6;0;0;7;14;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;3;1;1;1;5;0;0;6;6
01.12.2024;00:22;A 94;1;0;0;3;5;6;20;2;7;0;0;6;8;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;2;1;0;0;1;14;3;3
01.12.2024;00:21;A 94;1;2;6;0;0;7;20;2;8;0;0;7;8;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;3;2;2;1;14;0;0;0;0
