Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
18.01.2025;00:23;A 10;1;0;0;0;0;1;1;0;0;0;100;0;100;1;1;0;0;2;4;1;14;1;1;0;0;0;0;0;0;0;0;4;8
18.01.2025;00:22;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;25;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:21;A 10;1;2;3;4;5;1;2;0;0;0;100;0;100;1;1;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;1;1
18.01.2025;00:20;A 10;1;3;7;2;3;2;2;0;0;0;100;0;100;1;1;1;2;2;4;1;4;0;0;0;0;0;0;0;0;0;0;3;5
18.01.2025;00:19;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;0;0;2;4;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:18;A 10;1;0;0;1;2;0;0;0;0;0;100;0;100;1;1;0;0;1;2;1;85;0;0;0;0;0;0;0;0;0;0;2;2
18.01.2025;00:17;A 10;1;2;2;0;0;0;0;0;0;0;100;0;100;0;0;0;0;1;2;1;70;0;0;0;0;0;0;0;0;0;0;2;3
18.01.2025;00:16;A 10;1;0;0;1;2;1;1;0;0;0;100;0;100;1;1;1;2;3;9;0;68;0;0;0;0;0;0;0;0;0;0;1;2
18.01.2025;00:15;A 10;1;2;4;0;0;0;0;0;6;0;100;0;100;2;4;2;3;0;0;1;78;0;0;1;45;0;0;0;0;1;1;0;0
18.01.2025;00:14;A 10;1;3;4;0;0;0;0;1;68;0;100;0;100;1;0;1;2;0;0;3;89;0;0;0;0;0;0;0;0;0;0;1;1
18.01.2025;00:13;A 10;1;0;0;2;3;0;0;0;0;0;100;0;100;1;2;0;0;0;0;1;44;0;0;1;5;0;0;1;2;0;0;0;0
18.01.2025;00:12;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:11;A 10;1;1;2;2;2;0;0;0;0;0;100;0;100;0;0;1;2;3;54;0;0;0;0;0;0;0;0;0;0;0;0;1;1
18.01.2025;00:10;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1
18.01.2025;00:09;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;0;0;1;1;0;0;0;69;0;0;0;0;0;0;0;0;0;0;3;4
18.01.2025;00:08;A 10;1;2;3;2;3;2;3;0;0;0;100;0;100;1;2;0;0;3;8;2;20;0;0;0;0;0;0;0;0;0;0;3;4
18.01.2025;00:07;A 10;1;0;0;2;3;0;0;0;0;0;100;0;100;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;5
18.01.2025;00:06;A 10;1;2;3;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
