Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;T32Z;T32B;TB32Z;TB32B;V51Z;V51B;ST55Z;ST55B;TB33Z;TB33B;VK1_3StoerZ;VK1_3StoerB
18.01.2025;01:00;A 39;1;;;2;10;3;2;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:59;A 39;1;;;4;13;3;6;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:58;A 39;1;;;2;10;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:57;A 39;1;;;1;17;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:56;A 39;1;;;2;9;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:55;A 39;1;;;4;16;3;23;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:54;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:53;A 39;1;;;4;16;2;7;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:52;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:51;A 39;1;;;2;10;3;8;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:50;A 39;1;;;0;0;4;12;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:49;A 39;1;;;2;7;4;8;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:48;A 39;1;;;2;3;3;8;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:47;A 39;1;;;1;5;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:46;A 39;1;;;0;0;1;7;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:45;A 39;1;;;0;0;4;9;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:44;A 39;1;;;0;4;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:43;A 39;1;;;2;6;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:42;A 39;1;;;1;7;4;10;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:41;A 39;1;;;0;0;1;4;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:40;A 39;1;;;1;12;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:39;A 39;1;;;2;12;3;2;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:38;A 39;1;;;3;14;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:37;A 39;1;;;2;4;4;18;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:36;A 39;1;;;1;8;1;7;1;11;0;0;0;0;0;0;0;0
18.01.2025;00:35;A 39;1;;;3;14;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:34;A 39;1;;;1;9;3;6;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:33;A 39;1;;;0;0;2;2;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:32;A 39;1;;;0;0;5;16;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:31;A 39;1;;;1;4;1;14;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:30;A 39;1;;;1;5;5;9;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:29;A 39;1;;;2;8;3;4;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:28;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:27;A 39;1;;;2;5;2;19;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:26;A 39;1;;;0;0;1;14;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:25;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:24;A 39;1;;;1;1;2;5;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:23;A 39;1;;;0;0;2;12;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:22;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:21;A 39;1;;;0;0;2;3;0;0;0;0;0;0;0;0;0;0
