Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;V26Z;V26B;D31Z;D31B;V32Z;V32B;D41Z;D41B;D51Z;D51B;D52Z;D52B;V53Z;V53B;V54Z;V54B;D61Z;D61B;D62Z;D62B;V63Z;V63B;V64Z;V64B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D91Z;D91B;V92Z;V92B;D101Z;D101B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D121Z;D121B;D122Z;D122B;V123Z;V123B;V124Z;V124B;TF31Z;TF31B;TF33Z;TF33B;TF34Z;TF34B;TF35Z;TF35B;TF37Z;TF37B;TF39Z;TF39B;TF40Z;TF40B;TF41Z;TF41B;TBS31Z;TBS31B;TBS32Z;TBS32B;TBS33Z;TBS33B;TBS34Z;TBS34B;TBS35Z;TBS35B;TBS37Z;TBS37B;TBS38Z;TBS38B;TBS39Z;TBS39B;TBS40Z;TBS40B;TBS41Z;TBS41B
14.07.2024;02:00;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;1;65;0;2;1;0;1;0;2;3;3;3;1;0;0;0;0;0;0;0;2;1;1;0;2;3;1;5;1;38;4;12;2;13;1;10;6;12;3;3;219;35;232;20;4;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;2;1;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:59;A142;1;0;0;0;0;1;1;0;0;2;9;1;6;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;6;5;3;1;236;30;258;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:58;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236;28;255;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:57;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;1;4;1;55;0;0;1;6;1;2;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;211;23;270;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:56;A142;1;0;0;0;0;2;2;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;16;1;7;0;0;1;0;6;5;2;1;226;24;279;16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;2;0;0;1;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:55;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;2;6;1;22;0;0;0;0;0;0;0;0;0;0;0;0;228;25;277;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:54;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;1;7;1;7;2;5;0;0;0;0;1;2;0;0;1;0;0;0;1;4;0;0;1;30;1;24;0;0;0;0;0;0;0;0;231;25;284;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:53;A142;1;0;0;0;0;1;0;0;0;1;6;0;0;0;0;0;0;0;0;1;40;0;0;1;3;0;0;0;0;1;2;0;0;0;0;2;3;1;2;1;16;3;21;1;7;0;0;0;0;0;0;0;0;224;25;285;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:52;A142;1;1;0;0;0;1;0;2;1;2;2;0;0;0;0;0;0;0;0;0;0;2;17;1;1;0;0;0;0;1;3;0;0;1;0;1;0;1;4;2;7;0;99;1;80;0;0;0;0;4;2;0;0;230;26;268;16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;2;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:51;A142;1;0;0;1;2;0;0;0;0;0;0;1;8;0;0;0;0;1;27;0;26;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;10;0;0;0;0;3;4;0;0;205;20;291;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;2;1;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:50;A142;1;1;0;1;0;1;1;2;2;2;8;1;4;0;0;0;0;1;41;1;25;4;14;3;6;0;0;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;189;20;291;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:49;A142;1;0;0;0;0;1;1;0;0;1;9;0;0;0;0;0;0;0;0;2;1;1;1;5;5;0;0;0;0;1;0;0;0;1;1;0;0;1;7;0;0;0;0;0;0;1;0;0;0;2;2;0;0;200;26;263;19;3;7;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:48;A142;1;0;0;1;0;2;3;0;0;2;16;1;4;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;7;1;9;0;0;0;0;1;47;1;44;6;6;0;0;241;29;268;17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;4;1;0;1;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:47;A142;1;0;0;1;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;1;45;1;11;2;9;0;0;0;0;1;4;0;0;0;0;0;0;0;0;1;2;1;50;1;5;3;49;0;21;14;13;3;3;189;21;251;16;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;4;3;0;0;1;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:46;A142;1;0;0;0;0;1;1;0;0;1;10;0;0;0;0;0;0;1;23;0;0;1;7;1;2;1;2;0;0;1;4;0;0;1;1;1;1;1;9;1;8;0;55;0;0;0;0;2;56;0;0;4;3;185;20;259;17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:45;A142;1;0;0;1;1;0;0;0;0;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;29;3;14;0;0;0;0;0;0;2;1;181;17;294;17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:44;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;41;1;8;3;8;0;0;0;0;1;4;0;0;0;0;1;1;0;0;1;8;1;18;1;4;0;0;0;0;0;0;0;0;165;17;283;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:43;A142;1;0;0;0;0;1;2;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;2;3;5;16;1;1;2;10;0;0;0;0;3;2;0;0;107;10;261;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;3;2;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:42;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;6;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;1;82;1;6;0;28;1;29;0;0;2;1;184;22;256;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:41;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;12;4;9;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;2;38;5;6;3;2;205;25;258;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:40;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;46;2;12;3;5;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;26;4;3;3;4;210;24;256;16;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:39;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;1;0;3;3;4;5;1;36;0;0;0;0;2;27;0;0;7;11;0;0;168;27;274;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;1;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:38;A142;1;1;1;0;0;2;1;1;3;2;13;0;0;0;0;0;0;0;0;1;67;1;3;3;4;0;0;0;0;2;2;0;0;3;3;3;2;5;16;3;12;1;55;1;5;0;0;0;0;0;0;0;0;202;21;279;17;1;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;3;2;5;2;;;;;;;;;;;;;;;;;;;;
14.07.2024;01:37;A142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;6;0;0;1;62;1;9;0;0;1;27;3;3;3;4;179;18;266;17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;
