Datum;Uhrzeit;Bezeichnung;Intervall;H51_A9/M2_510Z;H51_A9/M2_510B;A51_M1_492Z;A51_M1_492B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_513Z;A55_M2_513B;H55_A110/M3UmlXZ;H55_A110/M3UmlXB;Anf_32Z;Anf_32B
04.12.2024;01:00;A135;1;0;0;0;0;0;0;0;0;0;2;0;0
04.12.2024;00:59;A135;1;0;0;0;0;0;0;1;15;1;3;0;0
04.12.2024;00:58;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:57;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:56;A135;1;0;0;1;14;0;0;0;0;0;0;0;0
04.12.2024;00:55;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:54;A135;1;0;0;1;9;1;4;1;10;0;0;0;0
04.12.2024;00:53;A135;1;0;0;1;10;0;0;2;29;0;0;0;0
04.12.2024;00:52;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:51;A135;1;0;0;0;0;0;0;1;38;0;0;0;0
04.12.2024;00:50;A135;1;0;0;0;0;0;0;1;0;0;0;0;0
04.12.2024;00:49;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:48;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:47;A135;1;0;0;0;0;0;0;1;26;0;0;0;0
04.12.2024;00:46;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:45;A135;1;0;0;1;16;0;0;1;10;0;0;0;0
04.12.2024;00:44;A135;1;0;0;0;0;0;0;1;6;0;0;0;0
04.12.2024;00:43;A135;1;0;0;1;7;0;0;0;0;1;8;0;0
04.12.2024;00:42;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:41;A135;1;0;0;1;12;0;0;0;0;0;0;0;0
04.12.2024;00:40;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:39;A135;1;0;0;0;0;0;0;0;0;0;0;0;0
