Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
04.12.2024;01:00;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:59;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:58;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:57;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:56;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:55;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:54;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:53;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:52;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:51;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:50;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:49;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:48;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:47;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:46;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:45;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:44;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:43;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:42;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:41;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:40;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:39;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:38;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:37;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:36;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:35;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:34;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:33;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:32;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:31;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:30;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:29;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:28;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:27;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:26;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:25;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:24;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:23;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:22;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:21;A130;1;0;0;0;0;0;0;0;0;;
04.12.2024;00:20;A130;1;0;0;0;0;0;0;0;0;;
