Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
04.12.2024;00:14;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0
04.12.2024;00:13;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
04.12.2024;00:12;A 96;1;0;100;0;100;1;7;0;0;0;0;0;0;1;2;0;0;0;0;0;0
04.12.2024;00:11;A 96;1;0;100;0;100;1;25;0;0;0;0;1;1;0;0;0;0;0;0;0;0
04.12.2024;00:10;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:09;A 96;1;0;100;0;100;0;0;0;0;0;0;1;4;1;4;0;0;0;0;0;0
04.12.2024;00:08;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
04.12.2024;00:07;A 96;1;0;100;0;100;0;0;0;0;0;0;2;1;4;5;0;0;0;0;0;0
04.12.2024;00:06;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:05;A 96;1;0;100;0;100;0;0;0;12;0;0;1;1;0;0;0;0;0;0;0;0
04.12.2024;00:04;A 96;1;0;100;0;100;0;0;1;63;0;0;3;3;2;1;0;0;0;0;0;0
04.12.2024;00:03;A 96;1;0;100;0;100;0;0;0;0;0;0;3;9;1;6;0;0;0;0;0;0
04.12.2024;00:02;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
04.12.2024;00:01;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0
04.12.2024;00:00;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0
03.12.2024;23:59;A 96;1;0;100;0;100;2;66;0;0;0;0;0;0;0;0;0;0;1;2;0;0
03.12.2024;23:58;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
03.12.2024;23:57;A 96;1;0;100;0;100;0;0;0;0;0;0;2;1;2;3;0;0;0;0;0;0
03.12.2024;23:56;A 96;1;0;100;0;100;1;45;0;0;0;0;0;0;1;1;1;2;1;2;0;0
03.12.2024;23:55;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;23:54;A 96;1;0;100;0;100;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:53;A 96;1;0;100;0;100;1;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:52;A 96;1;0;100;0;100;0;0;0;0;0;18;2;2;2;2;0;0;0;0;0;0
03.12.2024;23:51;A 96;1;0;100;0;100;0;0;0;0;1;29;0;0;1;1;0;0;0;0;0;0
03.12.2024;23:50;A 96;1;0;100;0;100;0;0;0;30;0;0;0;0;1;1;0;0;0;0;0;0
