Datum;Uhrzeit;Bezeichnung;Intervall;TF35Z;TF35B;TF35aZ;TF35aB;TF36Z;TF36B;TF36aZ;TF36aB
16.04.2024;01:34;A114;1;0;0;0;0;0;0;0;0
16.04.2024;01:33;A114;1;0;0;0;0;0;0;0;0
