Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;TF32Z;TF32B;TB32Z;TB32B;VK1_2StoerZ;VK1_2StoerB
16.04.2024;01:34;A150;1;0;0;0;0;0;0;0;0;0;0
16.04.2024;01:33;A150;1;0;0;0;0;0;0;0;0;0;0
16.04.2024;01:28;A150;1;0;0;0;0;0;0;0;0;0;0
16.04.2024;01:20;A150;1;0;0;0;0;0;0;0;0;0;0
16.04.2024;01:14;A150;1;0;0;0;0;0;0;0;0;0;0
16.04.2024;00:57;A150;1;0;0;1;8;0;0;0;0;0;0
16.04.2024;00:53;A150;1;2;2;1;7;0;0;0;0;0;0
16.04.2024;00:47;A150;1;0;0;2;3;0;0;0;0;0;0
16.04.2024;00:33;A150;1;0;0;0;0;0;0;0;0;0;0
16.04.2024;00:25;A150;1;2;5;1;7;0;0;0;0;0;0
15.04.2024;23:55;A150;1;0;0;3;15;0;0;0;0;0;0
15.04.2024;23:42;A150;1;0;0;0;0;0;0;0;0;0;0
15.04.2024;23:32;A150;1;0;0;0;0;0;0;0;0;0;0
15.04.2024;23:26;A150;1;0;0;0;0;0;0;0;0;0;0
15.04.2024;23:10;A150;1;0;0;0;0;0;0;0;0;0;0
15.04.2024;23:04;A150;1;2;8;0;0;0;0;0;0;0;0
15.04.2024;22:16;A150;1;0;0;0;0;0;0;0;0;0;0
15.04.2024;21:45;A150;1;4;47;1;5;0;0;0;0;0;0
15.04.2024;21:21;A150;1;0;0;0;0;0;0;0;0;0;0
15.04.2024;20:33;A150;1;1;11;2;37;0;0;0;0;0;0
15.04.2024;20:23;A150;1;2;16;2;22;0;0;0;0;0;0
15.04.2024;19:53;A150;1;4;52;2;45;0;0;0;0;0;0
15.04.2024;19:42;A150;1;0;0;3;26;0;0;0;0;0;0
15.04.2024;18:49;A150;1;5;36;3;8;0;0;0;0;0;0
15.04.2024;18:37;A150;1;1;5;2;25;1;1;0;0;0;0
15.04.2024;17:59;A150;1;1;63;2;47;0;0;1;1;0;0
15.04.2024;17:42;A150;1;3;19;1;6;0;0;0;0;0;0
15.04.2024;17:11;A150;1;4;40;2;27;0;0;0;0;0;0
15.04.2024;16:17;A150;1;2;12;2;25;0;0;0;0;0;0
15.04.2024;16:11;A150;1;5;32;1;5;0;0;0;0;0;0
15.04.2024;15:54;A150;1;2;20;1;15;0;0;1;1;0;0
15.04.2024;15:43;A150;1;0;7;1;11;0;0;0;0;0;0
15.04.2024;15:38;A150;1;2;35;4;28;1;1;0;0;0;0
15.04.2024;14:47;A150;1;3;47;3;23;0;0;0;0;0;0
15.04.2024;13:48;A150;1;1;11;1;6;0;0;0;0;0;0
15.04.2024;13:32;A150;1;3;9;1;7;0;0;0;0;0;0
15.04.2024;12:46;A150;1;1;16;1;9;0;0;0;0;0;0
15.04.2024;07:56;A150;1;4;39;1;7;0;0;1;2;0;0
15.04.2024;04:26;A150;1;0;0;0;3;0;0;0;0;0;0
