Datum;Uhrzeit;Bezeichnung;Intervall;Anf_35Z;Anf_35B
16.04.2024;01:35;A145;1;0;0
16.04.2024;01:34;A145;1;0;0
16.04.2024;01:29;A145;1;0;0
16.04.2024;01:21;A145;1;0;0
16.04.2024;00:58;A145;1;0;0
16.04.2024;00:54;A145;1;0;0
16.04.2024;00:34;A145;1;0;0
16.04.2024;00:26;A145;1;0;0
15.04.2024;23:43;A145;1;0;0
15.04.2024;23:33;A145;1;0;0
15.04.2024;23:27;A145;1;0;0
15.04.2024;23:11;A145;1;0;0
15.04.2024;21:22;A145;1;0;0
15.04.2024;18:50;A145;1;0;0
15.04.2024;18:00;A145;1;0;0
15.04.2024;16:18;A145;1;0;0
15.04.2024;15:44;A145;1;0;0
15.04.2024;07:57;A145;1;0;0
15.04.2024;04:27;A145;1;0;0
