Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V52Z;V52B;V53Z;V53B;V111Z;V111B;V112Z;V112B;TF35Z;TF35B;TB35Z;TB35B;TF36Z;TF36B;TB36Z;TB36B
28.05.2024;02:00;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:59;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:58;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:57;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:56;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:55;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:54;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:53;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:52;A 89;1;0;100;0;100;0;100;0;0;0;2;0;0;0;0;0;0;0;0
28.05.2024;01:51;A 89;1;0;100;0;100;0;100;2;2;1;0;0;0;0;0;0;0;0;0
28.05.2024;01:50;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:49;A 89;1;0;100;0;100;0;100;0;0;0;0;1;1;0;0;0;0;0;0
28.05.2024;01:48;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:47;A 89;1;0;100;0;100;0;100;0;0;1;4;0;0;0;0;0;0;0;0
28.05.2024;01:46;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:45;A 89;1;0;100;0;100;0;100;0;0;1;5;0;0;0;0;0;0;0;0
28.05.2024;01:44;A 89;1;0;100;0;100;0;100;0;2;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:43;A 89;1;0;100;0;100;0;100;2;12;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:42;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:41;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:40;A 89;1;0;100;0;100;0;100;1;5;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:39;A 89;1;0;100;0;100;0;100;2;6;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:38;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:37;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:36;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:35;A 89;1;0;100;0;100;0;100;0;0;1;2;0;0;0;0;0;0;0;0
28.05.2024;01:34;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:33;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:32;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:31;A 89;1;0;100;0;100;0;100;0;0;3;8;0;0;0;0;0;0;0;0
28.05.2024;01:30;A 89;1;0;100;0;100;0;100;1;4;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:29;A 89;1;0;100;0;100;0;100;1;7;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:28;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:27;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:26;A 89;1;0;100;0;100;0;100;3;12;1;5;0;0;0;0;0;0;0;0
28.05.2024;01:25;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:24;A 89;1;0;100;0;100;0;100;3;2;1;0;0;0;0;0;0;0;0;0
28.05.2024;01:23;A 89;1;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:22;A 89;1;0;100;0;100;0;100;1;5;0;0;0;0;0;0;0;0;0;0
28.05.2024;01:21;A 89;1;0;100;0;100;0;100;1;5;0;0;0;0;0;0;0;0;0;0
