Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;D23Z;D23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;D83Z;D83B;V84Z;V84B;TF38Z;TF38B;TB38Z;TB38B;TF38aZ;TF38aB;TB38aZ;TB38aB;VK1_iOZ;VK1_iOB;VK2_iOZ;VK2_iOB
25.09.2024;02:00;A 61;1;1;0;1;0;1;0;1;5;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:59;A 61;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:58;A 61;1;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:57;A 61;1;0;0;0;0;1;0;0;0;132;11;1;1;1;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:56;A 61;1;0;0;0;0;0;0;0;0;106;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:55;A 61;1;1;0;1;0;1;1;1;9;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:54;A 61;1;0;0;0;0;0;0;0;0;39;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:53;A 61;1;0;0;0;0;0;0;0;0;49;4;1;1;1;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:52;A 61;1;0;0;0;0;0;0;0;0;77;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:51;A 61;1;0;0;0;0;0;0;0;0;27;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:50;A 61;1;0;0;0;0;0;0;0;0;15;1;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:49;A 61;1;0;0;0;0;0;0;0;0;33;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:48;A 61;1;0;0;0;0;0;0;0;0;26;2;1;1;0;0;1;8;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:47;A 61;1;0;0;0;0;0;0;0;0;117;10;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:46;A 61;1;0;0;0;0;0;0;0;0;112;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:45;A 61;1;0;0;0;0;0;0;0;0;124;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:44;A 61;1;0;0;0;0;0;0;0;0;114;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:43;A 61;1;0;0;0;0;0;0;0;0;110;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:42;A 61;1;1;0;1;1;1;1;1;10;84;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:41;A 61;1;0;0;0;0;0;0;0;0;50;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:40;A 61;1;0;0;0;0;0;0;0;0;94;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:39;A 61;1;0;0;0;0;0;0;0;0;95;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:38;A 61;1;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:37;A 61;1;0;0;1;1;0;0;0;0;38;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:36;A 61;1;0;0;0;0;0;0;0;0;26;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:35;A 61;1;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:34;A 61;1;0;0;0;0;0;0;0;0;28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:33;A 61;1;0;0;0;0;0;0;0;0;69;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:32;A 61;1;1;0;1;0;1;0;1;6;49;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:31;A 61;1;0;0;0;0;0;0;0;0;28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:30;A 61;1;0;0;0;0;0;0;0;0;51;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
25.09.2024;01:29;A 61;1;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
