Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;D11Z;D11B;D12Z;D12B;TF32Z;TF32B;TB32Z;TB32B;TF33Z;TF33B;TB33Z;TB33B;ST51Z;ST51B;ST55Z;ST55B;LUe_AbFV2_A8Z;LUe_AbFV2_A8B
07.05.2024;01:17;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:16;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:15;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:14;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:13;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:12;A 80;1;0;0;0;0;0;0;0;0;1;20;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:11;A 80;1;0;0;0;0;0;0;6;9;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:10;A 80;1;0;0;0;0;0;0;4;3;1;21;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:09;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:08;A 80;1;0;0;0;0;0;0;2;6;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:07;A 80;1;0;0;0;0;0;0;2;6;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:06;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:05;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:04;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
