Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;V13Z;V13B;V15Z;V15B;D12Z;D12B;V14Z;V14B;V16Z;V16B;D31Z;D31B;V33Z;V33B;D32Z;D32B;V34Z;V34B;D41Z;D41B;D42Z;D42B;V43Z;V43B;V44Z;V44B;V45Z;V45B;TF38Z;TF38B;TB38Z;TB38B;TF41Z;TF41B;TB41Z;TB41B;V1Z;V1B;V2Z;V2B;V3Z;V3B;V4Z;V4B;V5Z;V5B;V6Z;V6B
16.12.2024;21:13;A146;1;3;37;3;15;6;8;4;6;7;24;6;17;4;28;3;19;1;64;0;3;2;53;3;3;2;19;1;17;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:12;A146;1;6;7;2;18;7;8;1;1;2;8;2;3;3;20;3;41;3;3;2;7;3;30;4;4;4;29;4;22;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:11;A146;1;1;1;3;10;6;9;2;5;3;38;2;4;4;5;2;24;0;0;0;0;5;27;1;11;1;31;1;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:10;A146;1;1;0;2;4;3;6;2;1;2;6;4;5;0;0;0;0;1;0;0;0;3;30;7;9;4;32;7;38;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:09;A146;1;5;55;4;34;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;1;1;1;10;2;5;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:08;A146;1;2;1;2;6;5;6;0;0;0;0;1;1;0;0;0;0;1;0;0;0;6;37;6;11;2;55;2;39;3;11;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:07;A146;1;0;11;0;0;0;0;1;1;1;4;2;2;0;0;0;0;2;1;0;0;3;39;2;1;2;14;3;9;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:06;A146;1;2;14;2;13;4;6;2;2;2;11;4;6;1;0;1;4;1;0;0;0;3;26;2;3;1;36;2;10;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:05;A146;1;1;3;1;4;2;3;1;1;2;11;2;3;0;0;0;0;1;13;1;8;1;9;2;1;1;18;2;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:04;A146;1;3;3;3;13;6;9;0;0;1;2;0;0;3;15;3;17;0;0;0;0;7;9;5;5;3;34;5;22;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:03;A146;1;1;1;1;4;0;0;2;3;3;8;3;7;2;1;1;8;1;0;0;0;3;35;6;7;1;51;2;28;1;7;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:02;A146;1;1;35;1;7;4;6;1;0;0;14;0;0;2;13;2;10;1;0;0;0;1;16;1;0;1;7;1;5;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:01;A146;1;2;5;2;12;4;6;3;4;2;25;4;5;2;14;1;16;1;81;1;5;3;5;2;1;2;13;2;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;21:00;A146;1;1;48;1;6;2;3;0;0;2;2;0;0;4;3;3;27;2;15;3;11;4;67;5;8;3;63;3;28;0;0;0;0;1;1;0;0;1;1;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:59;A146;1;0;0;0;0;0;0;1;0;1;2;2;2;0;0;1;0;0;0;0;0;2;7;2;3;1;17;1;12;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:58;A146;1;3;4;2;12;5;9;0;0;2;3;0;0;1;1;2;6;2;2;1;6;10;49;7;12;4;38;3;31;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:57;A146;1;0;0;0;0;0;0;1;1;3;21;2;3;0;0;0;0;1;0;0;0;8;38;9;23;5;68;8;58;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:56;A146;1;1;37;1;6;2;3;3;5;2;35;6;11;2;2;2;12;3;1;1;5;5;68;5;11;1;87;2;25;1;2;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:55;A146;1;2;17;1;7;4;5;3;3;6;34;6;11;7;7;6;30;2;0;0;0;5;42;7;10;3;52;5;37;1;2;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:54;A146;1;1;18;1;4;2;3;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;18;0;0;1;2;1;5;1;0;0;0;1;1;0;0;1;1;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:53;A146;1;1;1;1;3;2;2;2;2;4;12;4;5;2;1;4;19;0;0;0;0;6;42;7;24;2;65;4;39;2;2;1;1;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:52;A146;1;5;5;5;15;8;10;1;1;1;6;2;3;1;39;1;7;1;0;0;0;4;40;4;4;4;29;3;20;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:51;A146;1;1;1;2;7;4;5;0;0;0;0;0;0;3;22;3;26;0;0;0;0;6;39;6;7;3;38;6;30;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:50;A146;1;2;2;2;7;4;5;1;0;3;4;2;2;0;0;0;0;0;0;0;0;3;6;3;3;5;18;4;17;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:49;A146;1;3;3;4;13;8;13;3;3;3;12;6;7;2;13;2;12;0;0;0;0;3;23;2;4;0;29;1;10;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:48;A146;1;1;0;1;3;2;2;1;5;1;6;2;6;0;0;0;0;1;2;0;0;4;37;5;5;4;46;6;31;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:47;A146;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;60;1;7;2;42;2;2;2;15;1;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:46;A146;1;1;0;1;3;2;2;1;0;1;3;2;3;0;0;0;0;0;0;1;3;2;3;2;2;1;16;2;15;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:45;A146;1;2;2;1;8;3;4;1;1;1;5;2;3;3;14;2;22;0;0;0;0;5;33;5;5;3;56;4;25;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:44;A146;1;3;5;2;7;4;5;1;0;2;5;2;2;2;2;3;18;0;0;0;0;4;7;4;5;1;26;2;16;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:43;A146;1;2;37;3;21;6;9;4;8;3;33;7;12;0;0;0;0;1;0;0;0;2;18;2;2;3;18;4;19;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:42;A146;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;1;17;1;1;1;7;1;5;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:41;A146;1;0;0;0;0;0;0;1;1;1;5;2;3;1;47;2;41;2;36;0;8;5;6;4;3;2;18;2;11;1;1;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:40;A146;1;3;46;0;48;2;5;0;0;0;0;0;0;4;9;3;19;2;1;1;3;2;56;3;3;1;75;3;21;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:39;A146;1;6;48;7;40;12;19;3;13;1;37;3;7;0;0;0;0;1;0;0;0;5;12;5;10;1;33;1;25;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:38;A146;1;3;38;4;15;7;10;5;9;5;63;9;20;3;2;1;6;1;0;0;0;6;67;4;57;2;76;1;65;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:37;A146;1;2;10;2;8;4;5;2;2;3;13;5;7;2;1;3;12;2;2;1;2;4;13;6;8;2;38;4;32;2;1;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:36;A146;1;2;5;1;12;3;3;2;1;3;11;4;5;4;3;3;18;1;0;0;0;4;26;4;3;2;35;3;19;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:35;A146;1;3;3;3;13;6;10;1;0;4;6;2;2;1;1;1;5;3;28;2;10;5;42;5;7;2;51;6;29;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:34;A146;1;7;11;5;31;11;19;1;3;4;19;2;8;3;29;2;38;1;53;1;5;9;23;4;8;1;27;2;17;1;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:33;A146;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;15;0;0;0;0;2;60;6;9;2;73;3;30;2;6;0;0;1;1;0;0;1;1;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:32;A146;1;1;1;1;3;2;2;4;2;4;15;8;11;1;0;1;3;0;0;0;0;5;55;4;35;0;61;1;20;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:31;A146;1;1;25;1;3;2;2;2;1;2;6;4;6;2;1;2;10;1;12;1;6;1;29;2;1;2;10;2;12;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:30;A146;1;8;27;5;26;10;14;1;0;0;0;0;0;2;18;2;8;1;0;0;0;1;9;1;0;1;7;1;5;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:29;A146;1;4;42;4;50;10;16;0;0;0;0;0;0;1;21;1;7;0;0;0;0;6;11;6;7;3;19;5;34;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
16.12.2024;20:28;A146;1;5;44;3;39;9;16;1;1;1;9;2;3;2;1;2;8;1;38;1;3;4;38;4;3;4;37;4;17;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;100;0;100
