Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;D51Z;D51B;V52Z;V52B;V81Z;V81B;V82Z;V82B;D83Z;D83B;V91Z;V91B;V92Z;V92B;V101Z;V101B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TF32aZ;TF32aB;TF35Z;TF35B;TF35aZ;TF35aB;TF38Z;TF38B;TF38aZ;TF38aB;TF40Z;TF40B;TF40aZ;TF40aB;TF41Z;TF41B;TF41aZ;TF41aB;V1_4_StoerZ;V1_4_StoerB;V123Z;V123B;V121Z;V121B;V122Z;V122B;V5_StoerZ;V5_StoerB
16.12.2024;21:13;A 67;1;0;0;3;43;0;0;2;19;1;22;0;8;0;0;4;41;1;0;3;70;4;0;4;19;3;34;1;21;4;10;2;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;4;0;;;;;;;;
16.12.2024;21:12;A 67;1;0;0;0;2;0;0;2;44;2;23;2;25;0;0;0;0;0;0;4;13;3;0;3;12;1;36;2;12;3;7;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
16.12.2024;21:11;A 67;1;0;0;1;26;0;0;2;58;2;59;2;15;0;0;1;6;1;0;2;2;5;0;5;19;0;0;0;0;4;9;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
16.12.2024;21:10;A 67;1;0;0;1;46;0;0;1;0;1;0;1;3;0;0;1;1;0;0;2;64;3;0;3;11;0;0;0;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;;;;;;;;
16.12.2024;21:09;A 67;1;0;0;4;71;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;22;5;0;5;19;1;14;1;5;5;11;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
16.12.2024;21:08;A 67;1;0;0;1;57;0;0;0;7;0;6;0;0;0;0;3;15;2;0;5;19;1;0;1;2;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
16.12.2024;21:07;A 67;1;0;0;4;71;0;0;1;34;1;36;1;10;0;0;1;5;1;0;1;13;3;0;2;13;0;16;0;0;3;8;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
16.12.2024;21:06;A 67;1;0;0;2;49;0;0;2;2;2;2;1;10;0;0;4;7;1;0;1;88;5;0;5;19;1;31;1;4;5;12;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;;;;;;;;
16.12.2024;21:05;A 67;1;0;0;1;29;0;0;1;0;1;0;1;5;0;0;1;8;2;0;2;0;6;1;6;22;1;32;0;3;6;13;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
16.12.2024;21:04;A 67;1;1;0;1;8;0;0;0;0;0;0;0;0;0;0;1;5;1;0;2;8;2;0;2;7;1;1;2;6;3;9;3;9;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
16.12.2024;21:03;A 67;1;0;0;2;12;0;0;0;0;0;0;1;12;0;0;0;0;0;0;2;1;1;0;2;11;0;0;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
16.12.2024;21:02;A 67;1;0;0;3;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;13;3;0;1;6;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;;;;;;
16.12.2024;21:01;A 67;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;2;4;1;0;2;2;0;0;1;2;1;37;1;5;2;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
