Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V52Z;V52B;V53Z;V53B;V111Z;V111B;V112Z;V112B;TF35Z;TF35B;TB35Z;TB35B;TF36Z;TF36B;TB36Z;TB36B
14.04.2024;08:54;A 89;1;0;0;1;4;1;4;1;4;1;5;0;0;0;0;0;0;0;0
14.04.2024;08:53;A 89;1;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:52;A 89;1;1;6;2;11;0;0;2;13;1;4;0;0;0;0;0;0;0;0
14.04.2024;08:51;A 89;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:02;A 89;1;0;0;0;0;0;0;1;6;0;3;0;0;0;0;0;0;0;0
14.04.2024;08:01;A 89;1;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0
14.04.2024;08:00;A 89;1;1;5;1;3;0;0;1;6;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:59;A 89;1;0;0;0;0;0;0;1;4;1;4;0;0;0;0;0;0;0;0
14.04.2024;07:10;A 89;1;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:09;A 89;1;1;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:08;A 89;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:07;A 89;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:18;A 89;1;2;3;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:17;A 89;1;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:16;A 89;1;1;4;2;1;0;0;2;8;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:15;A 89;1;1;1;5;18;0;0;0;0;2;4;0;0;0;0;0;0;0;0
14.04.2024;03:40;A 89;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
