Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;D31Z;D31B;D32Z;D32B;D33Z;D33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;V44Z;V44B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4_GZ;MP4_GB;MP4_LZ;MP4_LB;MP5_RZ;MP5_RB;MP6_RZ;MP6_RB;MP5_GZ;MP5_GB;MP6_GZ;MP6_GB;MP7Z;MP7B;MP8Z;MP8B;MP9Z;MP9B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
14.04.2024;08:55;A 41;1;2;7;2;9;2;23;0;0;0;0;3;50;0;0;0;0;1;45;2;2;1;8;1;8;2;24;2;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:54;A 41;1;1;2;1;4;0;2;0;0;0;0;1;58;0;0;0;0;3;5;1;2;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:53;A 41;1;1;4;3;6;1;39;0;0;0;0;1;44;0;0;0;0;2;38;1;42;1;7;1;5;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:52;A 41;1;0;0;4;8;1;35;0;0;0;0;2;42;0;0;2;54;1;0;1;5;1;17;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:03;A 41;1;2;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:02;A 41;1;0;0;2;4;2;57;0;0;0;0;1;35;2;3;1;5;2;5;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:01;A 41;1;0;0;2;4;1;6;0;0;0;0;0;0;0;0;3;42;3;15;0;0;1;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:00;A 41;1;0;0;1;2;0;0;0;0;0;0;1;45;0;0;0;0;0;0;0;0;0;0;2;13;1;92;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:11;A 41;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:10;A 41;1;0;0;1;2;0;0;0;0;0;0;1;1;0;0;1;3;1;3;0;0;1;8;0;0;1;39;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:09;A 41;1;0;0;1;1;1;3;0;0;0;0;0;0;1;1;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:08;A 41;1;0;0;1;1;2;8;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:19;A 41;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;22;0;0;0;0;0;0;1;10;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:18;A 41;1;0;0;1;2;0;0;0;0;0;0;0;0;3;2;1;77;2;62;0;0;1;14;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:17;A 41;1;0;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;1;40;0;0;1;19;1;11;3;11;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:16;A 41;1;0;0;1;1;1;4;0;0;0;0;0;0;1;1;0;0;1;1;1;2;2;19;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;03:41;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;35;0;0;0;35;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
