Datum;Uhrzeit;Bezeichnung;Intervall;Anf_35Z;Anf_35B
15.04.2024;00:51;A145;1;0;0
14.04.2024;17:47;A145;1;0;0
14.04.2024;15:07;A145;1;0;0
14.04.2024;08:55;A145;1;0;0
14.04.2024;08:54;A145;1;0;0
14.04.2024;08:53;A145;1;0;0
14.04.2024;08:52;A145;1;0;0
14.04.2024;08:03;A145;1;0;0
14.04.2024;08:02;A145;1;0;0
14.04.2024;08:01;A145;1;0;0
14.04.2024;08:00;A145;1;0;0
14.04.2024;07:11;A145;1;0;0
14.04.2024;07:10;A145;1;0;0
14.04.2024;07:09;A145;1;0;0
14.04.2024;07:08;A145;1;0;0
14.04.2024;06:19;A145;1;0;0
14.04.2024;06:18;A145;1;0;0
14.04.2024;06:17;A145;1;0;0
14.04.2024;06:16;A145;1;0;0
14.04.2024;03:41;A145;1;0;0
