Datum;Uhrzeit;Bezeichnung;Intervall;HAMP01Z;HAMP01B;ABMP02Z;ABMP02B;HAMP03Z;HAMP03B;ABMP04Z;ABMP04B;T1Z;T1B;T2Z;T2B
14.04.2024;08:55;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:54;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:53;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:52;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:03;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:02;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:01;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:00;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:11;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:10;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:09;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:08;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:19;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:18;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:17;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:16;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;03:41;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
