Datum;Uhrzeit;Bezeichnung;Intervall;TF32_AFZ;TF32_AFB;TBS32_AFZ;TBS32_AFB;TB32a_AFZ;TB32a_AFB;TBs32a_AFZ;TBs32a_AFB
15.04.2024;00:50;A166;1;0;0;0;0;0;0;0;0
14.04.2024;17:46;A166;1;0;0;0;0;0;0;0;0
14.04.2024;15:06;A166;1;0;0;0;0;0;0;0;0
14.04.2024;10:40;A166;1;0;0;0;0;0;0;0;0
14.04.2024;08:54;A166;1;0;0;0;0;0;0;0;0
14.04.2024;08:53;A166;1;0;0;0;0;0;0;0;0
14.04.2024;08:52;A166;1;0;0;0;0;0;0;0;0
14.04.2024;08:51;A166;1;0;0;0;0;0;0;0;0
14.04.2024;08:02;A166;1;0;0;0;0;0;0;0;0
14.04.2024;08:01;A166;1;0;0;0;0;0;0;0;0
14.04.2024;08:00;A166;1;0;0;0;0;0;0;0;0
14.04.2024;07:59;A166;1;0;0;0;0;0;0;0;0
14.04.2024;07:10;A166;1;0;0;0;0;0;0;0;0
14.04.2024;07:09;A166;1;0;0;0;0;0;0;0;0
14.04.2024;07:08;A166;1;0;0;0;0;0;0;0;0
14.04.2024;07:07;A166;1;0;0;0;0;0;0;0;0
14.04.2024;06:18;A166;1;0;0;0;0;0;0;0;0
14.04.2024;06:17;A166;1;0;0;0;0;0;0;0;0
14.04.2024;06:16;A166;1;0;0;0;0;0;0;0;0
14.04.2024;06:15;A166;1;0;0;0;0;0;0;0;0
14.04.2024;03:40;A166;1;0;0;0;0;0;0;0;0
14.04.2024;03:25;A166;1;0;0;0;0;0;0;0;0
14.04.2024;02:57;A166;1;0;0;0;0;0;0;0;0
14.04.2024;02:34;A166;1;0;0;0;0;0;0;0;0
