Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;D23Z;D23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;D83Z;D83B;V84Z;V84B;TF38Z;TF38B;TB38Z;TB38B;TF38aZ;TF38aB;TB38aZ;TB38aB;VK1_iOZ;VK1_iOB;VK2_iOZ;VK2_iOB
14.04.2024;08:54;A 61;1;2;1;2;2;2;2;4;20;1;0;1;1;1;1;2;7;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;08:53;A 61;1;4;5;3;1;0;0;2;13;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;08:52;A 61;1;0;0;0;0;1;2;1;4;4;1;3;3;3;2;2;16;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;08:51;A 61;1;1;0;1;0;1;1;1;7;1;0;3;2;2;1;3;10;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;08:02;A 61;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;08:01;A 61;1;0;0;1;1;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;08:00;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;07:59;A 61;1;2;2;1;1;1;1;1;7;1;0;1;1;1;0;1;4;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;07:10;A 61;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;07:09;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;07:08;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;07:07;A 61;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;4;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;06:18;A 61;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;06:17;A 61;1;2;0;2;2;2;2;1;17;0;0;1;0;1;0;2;2;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;06:16;A 61;1;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;06:15;A 61;1;0;0;1;0;2;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
14.04.2024;03:40;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
