Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;TF35Z;TF35B;TBS35Z;TBS35B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB
14.04.2024;08:54;A108;1;1;6;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:53;A108;1;2;9;1;8;0;0;0;0;0;0;0;0
14.04.2024;08:52;A108;1;0;0;2;9;0;0;0;0;0;0;0;0
14.04.2024;08:51;A108;1;4;2;3;19;0;0;0;0;0;0;0;0
14.04.2024;08:02;A108;1;2;8;1;8;0;0;0;0;0;0;0;0
14.04.2024;08:01;A108;1;0;0;1;8;0;0;0;0;0;0;0;0
14.04.2024;08:00;A108;1;1;6;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:59;A108;1;1;6;1;6;0;0;0;0;0;0;0;0
14.04.2024;07:10;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:09;A108;1;1;5;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:08;A108;1;6;11;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:07;A108;1;0;0;1;11;0;0;0;0;0;0;0;0
14.04.2024;06:18;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:17;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:16;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:15;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;03:40;A108;1;0;0;1;11;0;0;0;0;0;0;0;0
