Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D15Z;D15B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D34Z;D34B;D35Z;D35B;D36Z;D36B;D37Z;D37B;D41Z;D41B;D42Z;D42B;D43Z;D43B;VD111Z;VD111B;VD121Z;VD121B;VD131Z;VD131B;VD211Z;VD211B;VD212Z;VD212B;VD221Z;VD221B;VD222Z;VD222B;VD231Z;VD231B;VD232Z;VD232B;VD311Z;VD311B;VD321Z;VD321B;VD331Z;VD331B;VD411Z;VD411B;VD421Z;VD421B;VD422Z;VD422B;T32Z;T32B;T35Z;T35B;T38Z;T38B;T41Z;T41B;TB32Z;TB32B;TB35Z;TB35B;TB38Z;TB38B;TB41Z;TB41B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;V5_StoerZ;V5_StoerB;V6_StoerZ;V6_StoerB;V7_StoerZ;V7_StoerB
14.04.2024;08:54;A 20;1;1;4;0;0;1;0;0;0;1;25;1;5;1;1;1;1;2;18;2;54;4;6;0;0;0;0;1;0;1;11;1;48;1;7;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:53;A 20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13;2;10;2;2;1;44;0;44;0;0;2;73;0;0;2;21;1;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:52;A 20;1;0;0;2;32;0;0;2;2;1;16;1;7;3;1;1;1;3;45;1;19;1;1;1;36;2;11;2;4;2;19;0;0;2;9;0;0;2;1;0;0;1;78;1;74;1;1;0;0;0;0;0;0;1;18;0;0;1;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:51;A 20;1;0;0;0;0;0;0;23;5;0;0;0;0;0;0;0;0;1;35;1;26;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;5;1;1;2;2;0;0;0;0;2;33;0;0;2;16;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:02;A 20;1;1;5;0;0;1;0;0;0;0;0;1;5;1;1;1;1;3;2;2;12;5;7;1;20;1;8;1;1;1;40;0;0;0;4;0;0;0;0;0;0;1;24;1;5;1;0;1;1;0;0;0;0;0;0;1;29;0;0;1;33;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:01;A 20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;0;0;3;18;0;0;3;2;0;0;1;42;1;5;1;0;1;0;0;64;0;0;1;78;1;57;0;6;1;63;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;08:00;A 20;1;0;0;2;7;0;0;2;1;0;11;0;0;0;0;0;0;2;3;2;11;2;2;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26;1;6;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:59;A 20;1;0;0;0;0;0;0;0;0;1;79;1;6;1;1;1;1;1;1;1;4;1;1;0;59;0;0;0;0;2;39;1;0;2;43;1;3;2;2;1;1;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:10;A 20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;20;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;53;0;0;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:09;A 20;1;0;0;1;4;0;0;1;0;0;16;0;0;0;0;0;0;0;0;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:08;A 20;1;1;12;1;4;1;1;1;0;1;56;1;7;1;1;1;1;0;0;0;0;1;2;1;29;1;37;0;0;1;1;0;0;1;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;32;0;0;1;10;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;07:07;A 20;1;2;6;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;12;2;25;2;4;2;2;1;3;0;0;1;0;1;25;1;4;1;5;1;0;1;0;0;0;0;0;0;0;0;0;1;6;1;8;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:18;A 20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;5;10;3;3;2;12;2;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20;0;0;2;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:17;A 20;1;1;62;0;69;0;0;1;1;1;20;2;4;1;0;1;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:16;A 20;1;1;20;1;13;1;1;1;3;0;0;0;0;0;0;1;1;1;18;1;6;1;1;0;0;0;0;0;0;1;29;0;0;2;11;1;2;1;1;0;0;1;64;1;7;1;1;1;1;0;0;0;0;1;71;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;06:15;A 20;1;0;0;2;10;0;0;1;0;1;12;2;4;1;1;1;1;1;7;2;3;1;1;0;0;0;0;0;0;1;0;0;0;1;5;0;0;1;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.04.2024;03:40;A 20;1;3;6;1;6;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;1;37;1;1;1;7;1;3;1;1;1;1;0;0;4;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
