Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;T3Z;T3B;T4Z;T4B;T5Z;T5B;T6Z;T6B;T7Z;T7B;T8Z;T8B;D21Z;D21B;D22_1Z;D22_1B;D22_2Z;D22_2B;D23Z;D23B;D81Z;D81B;D82_1Z;D82_1B;D82_2Z;D82_2B;D111Z;D111B;D112Z;D112B;V24Z;V24B;V25Z;V25B;V51Z;V51B;V52Z;V52B;V83Z;V83B;V84Z;V84B;V113Z;V113B;V114Z;V114B;V1_i_OZ;V1_i_OB;V2_i_OZ;V2_i_OB;V3_i_OZ;V3_i_OB;V4_i_OZ;V4_i_OB
16.11.2024;01:00;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;9;0;0;1;3;0;0;1;4;0;0;0;0;0;0;;;;;;;0;0
16.11.2024;00:59;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;35;0;0;0;0;0;0;2;36;0;0;0;0;0;0;0;0;5;12;0;0;0;0;0;0;4;18;0;0;0;0;0;0;;;;;;;0;0
16.11.2024;00:58;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;39;1;0;0;0;0;0;1;3;1;1;1;1;0;0;0;0;2;23;0;0;0;0;0;0;2;8;0;0;0;0;0;0;;;;;;;0;0
16.11.2024;00:57;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;51;0;0;0;0;0;0;2;3;1;0;1;0;0;0;1;2;4;10;0;0;0;0;0;0;1;12;0;0;1;0;1;4;;;;;;;0;0
16.11.2024;00:56;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0;0;1;1;2;1;2;1;1;1;0;0;2;16;0;0;0;0;0;0;2;4;0;0;1;3;0;0;;;;;;;0;0
16.11.2024;00:55;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;24;0;0;0;0;0;0;0;0;4;2;4;2;0;0;0;0;3;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0
16.11.2024;00:54;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;0;2;3;2;3;2;4;3;3;3;16;0;0;0;0;2;2;0;0;2;3;1;15;1;3;;;;;;;0;0
16.11.2024;00:53;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;;;;;;;0;0
16.11.2024;00:52;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;1;1;1;1;0;11;2;2;2;18;0;0;1;4;1;2;1;14;0;0;0;0;0;0;;;;;;;0;0
16.11.2024;00:51;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;26;0;0;1;2;1;3;0;0;0;0;1;13;0;0;;;;;;;0;0
