Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;V14Z;V14B;V15Z;V15B;V16Z;V16B;V34Z;V34B;V35Z;V35B;V36Z;V36B;T35Z;T35B;T36Z;T36B;T41Z;T41B;T42Z;T42B;V53_A4/M4_1132Z;V53_A4/M4_1132B;V53_A4/M5_entfXZ;V53_A4/M5_entfXB;H53_M1_1133Z;H53_M1_1133B;A53_M2_1134Z;A53_M2_1134B;V57_A7/M5_770Z;V57_A7/M5_770B;H57_M3_1128Z;H57_M3_1128B;A57_M4_1129Z;A57_M4_1129B;FWZ;FWB;V10Z;V10B
12.04.2024;16:27;A  3;1;6;68;8;24;3;91;7;29;8;39;0;100;4;5;3;19;3;22;1;78;2;11;0;0;3;28;3;33;3;38;4;11;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;5;32
12.04.2024;09:46;A  3;1;2;83;2;81;1;2;2;3;2;3;2;49;6;66;4;41;3;49;1;5;1;5;1;56;2;3;2;49;2;59;3;74;2;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;2;0;0;3;5
12.04.2024;09:45;A  3;1;1;70;3;49;1;2;0;0;2;5;4;21;2;34;4;48;0;0;3;52;1;10;1;34;0;0;1;1;3;6;2;10;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
12.04.2024;09:44;A  3;1;1;35;2;28;0;30;0;0;2;3;3;84;3;24;6;46;0;0;0;0;1;4;1;7;0;0;1;2;1;3;3;23;3;50;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;2;1;2;0;0;0;0;0;0;0;0;1;23
12.04.2024;09:43;A  3;1;4;45;3;60;1;16;2;4;0;0;1;98;5;32;5;82;0;32;1;12;1;6;1;99;2;3;1;42;3;12;2;34;0;54;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;1;2;0;0;2;5
12.04.2024;09:42;A  3;1;2;91;1;70;1;1;1;3;0;0;1;76;4;8;8;83;1;14;7;38;1;64;2;83;1;2;4;20;2;8;5;17;2;97;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;5;0;0;1;2;1;2;0;0;0;0;1;58
12.04.2024;09:41;A  3;1;2;51;3;65;2;63;2;35;2;4;1;54;2;79;4;91;1;76;0;51;1;20;2;87;1;2;2;5;3;24;2;4;3;87;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;65
