Datum;Uhrzeit;Bezeichnung;Intervall;V5Z;V5B;V11Z;V11B;V12Z;V12B;T35_sZ;T35_sB;T35_bZ;T35_bB;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B
12.04.2024;16:22;A173;1;5;13;3;8;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;16:12;A173;1;2;7;2;17;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;16:10;A173;1;5;12;2;15;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;15:48;A173;1;2;4;3;16;2;2;1;2;1;5;0;0;0;0;0;0;1;2;0;0;0;0
12.04.2024;15:39;A173;1;1;13;3;27;2;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;15:31;A173;1;5;42;2;7;3;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;15:20;A173;1;4;20;4;19;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;15:14;A173;1;2;9;2;8;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;15:11;A173;1;1;4;3;17;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;15:04;A173;1;4;17;4;21;4;7;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
12.04.2024;14:49;A173;1;4;26;1;4;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;14:47;A173;1;4;12;0;7;2;4;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
12.04.2024;14:40;A173;1;4;53;2;21;7;9;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;14:34;A173;1;6;24;3;10;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;14:27;A173;1;4;16;2;12;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;13:51;A173;1;2;64;1;80;4;14;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2
12.04.2024;13:46;A173;1;2;18;2;28;4;55;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
12.04.2024;13:33;A173;1;4;67;2;26;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;13:27;A173;1;4;22;1;28;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;13:24;A173;1;0;0;2;7;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;13:01;A173;1;4;89;2;24;4;51;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
12.04.2024;12:38;A173;1;4;60;1;10;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;12:34;A173;1;0;100;3;12;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;12:22;A173;1;5;65;2;43;6;13;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2
12.04.2024;12:12;A173;1;4;92;0;19;6;15;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;11:46;A173;1;12;54;2;43;1;40;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;11:43;A173;1;4;18;1;12;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;11:33;A173;1;11;78;2;11;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;11:32;A173;1;2;74;3;10;8;14;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;11:05;A173;1;0;100;1;5;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;10:57;A173;1;16;77;2;13;3;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;10:09;A173;1;9;35;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:52;A173;1;6;75;3;52;2;5;0;0;1;5;0;0;0;0;0;0;0;0;1;2;1;2
12.04.2024;09:46;A173;1;2;66;3;13;3;37;1;2;1;5;1;2;1;2;1;2;0;0;0;0;0;0
12.04.2024;09:45;A173;1;2;51;1;4;2;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:44;A173;1;5;39;2;12;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:43;A173;1;7;33;0;1;4;10;1;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:42;A173;1;4;29;3;9;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:41;A173;1;4;59;2;13;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:32;A173;1;9;39;2;4;4;8;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
12.04.2024;09:19;A173;1;1;97;1;4;3;8;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0
12.04.2024;09:16;A173;1;1;96;1;18;4;36;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
12.04.2024;09:06;A173;1;0;100;1;6;12;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:01;A173;1;0;100;1;4;13;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;08:33;A173;1;5;43;1;15;5;6;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
12.04.2024;08:25;A173;1;1;87;4;9;11;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;08:17;A173;1;15;53;2;57;6;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
12.04.2024;08:01;A173;1;4;35;3;14;4;23;0;0;0;0;1;2;1;2;1;2;0;0;0;0;0;0
12.04.2024;07:49;A173;1;5;38;0;0;8;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;07:43;A173;1;2;7;2;14;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;07:30;A173;1;13;20;2;9;2;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
12.04.2024;07:11;A173;1;4;29;0;0;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;06:51;A173;1;2;5;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;06:47;A173;1;2;8;2;14;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
12.04.2024;06:41;A173;1;1;4;2;12;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;06:29;A173;1;3;10;0;0;2;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
12.04.2024;06:22;A173;1;4;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;05:44;A173;1;2;5;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;05:38;A173;1;2;3;5;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;05:30;A173;1;5;25;0;0;1;29;0;0;0;0;1;2;1;2;1;2;1;2;1;2;0;0
