Datum;Uhrzeit;Bezeichnung;Intervall;TF32_AFZ;TF32_AFB;TBS32_AFZ;TBS32_AFB;TB32a_AFZ;TB32a_AFB;TBs32a_AFZ;TBs32a_AFB
13.04.2024;01:57;A166;1;0;0;0;0;0;0;0;0
13.04.2024;01:52;A166;1;0;0;0;0;0;0;0;0
13.04.2024;01:43;A166;1;0;0;0;0;0;0;0;0
13.04.2024;01:29;A166;1;0;0;0;0;0;0;0;0
13.04.2024;01:22;A166;1;0;0;0;0;0;0;0;0
13.04.2024;01:13;A166;1;0;0;0;0;0;0;0;0
13.04.2024;01:12;A166;1;0;0;0;0;0;0;0;0
13.04.2024;01:06;A166;1;0;0;0;0;0;0;0;0
12.04.2024;23:59;A166;1;0;0;0;0;0;0;0;0
12.04.2024;23:55;A166;1;0;0;0;0;0;0;0;0
12.04.2024;23:24;A166;1;0;0;0;0;0;0;0;0
12.04.2024;23:13;A166;1;0;0;0;0;0;0;0;0
12.04.2024;23:07;A166;1;0;0;0;0;0;0;0;0
12.04.2024;22:57;A166;1;0;0;0;0;0;0;0;0
12.04.2024;22:44;A166;1;0;0;0;0;0;0;0;0
12.04.2024;22:14;A166;1;0;0;0;0;0;0;0;0
12.04.2024;22:10;A166;1;0;0;0;0;0;0;0;0
12.04.2024;22:03;A166;1;0;0;0;0;0;0;0;0
12.04.2024;21:39;A166;1;0;0;0;0;0;0;0;0
12.04.2024;21:22;A166;1;0;0;0;0;0;0;0;0
12.04.2024;21:11;A166;1;0;0;0;0;0;0;0;0
12.04.2024;20:59;A166;1;0;0;0;0;0;0;0;0
12.04.2024;20:22;A166;1;0;0;0;0;0;0;0;0
12.04.2024;20:04;A166;1;0;0;0;0;0;0;0;0
12.04.2024;19:54;A166;1;0;0;0;0;0;0;0;0
12.04.2024;19:26;A166;1;0;0;0;0;0;0;0;0
12.04.2024;19:01;A166;1;0;0;0;0;0;0;0;0
12.04.2024;18:47;A166;1;0;0;0;0;0;0;0;0
12.04.2024;18:22;A166;1;0;0;0;0;0;0;0;0
12.04.2024;18:09;A166;1;0;0;0;0;0;0;0;0
12.04.2024;18:07;A166;1;0;0;0;0;0;0;0;0
12.04.2024;18:00;A166;1;0;0;0;0;0;0;0;0
12.04.2024;17:54;A166;1;0;0;0;0;0;0;0;0
12.04.2024;17:24;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:54;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:47;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:39;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:26;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:23;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:21;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:11;A166;1;0;0;0;0;0;0;0;0
12.04.2024;16:09;A166;1;0;0;0;0;0;0;0;0
12.04.2024;15:47;A166;1;0;0;0;0;0;0;0;0
12.04.2024;15:38;A166;1;0;0;0;0;0;0;0;0
12.04.2024;15:30;A166;1;0;0;0;0;0;0;0;0
12.04.2024;15:19;A166;1;0;0;0;0;0;0;0;0
12.04.2024;15:13;A166;1;0;0;0;0;0;0;0;0
12.04.2024;15:10;A166;1;0;0;0;0;0;0;0;0
12.04.2024;15:03;A166;1;0;0;0;0;0;0;0;0
12.04.2024;14:48;A166;1;0;0;0;0;1;1;0;0
12.04.2024;14:46;A166;1;0;0;0;0;1;1;1;1
12.04.2024;14:39;A166;1;0;0;0;0;0;0;0;0
12.04.2024;14:33;A166;1;0;0;0;0;0;0;0;0
12.04.2024;14:26;A166;1;0;0;0;0;0;0;0;0
12.04.2024;13:50;A166;1;0;0;0;0;0;0;0;0
12.04.2024;13:45;A166;1;0;0;0;0;0;0;0;0
12.04.2024;13:32;A166;1;0;0;0;0;0;0;0;0
12.04.2024;13:26;A166;1;0;0;0;0;0;0;0;0
12.04.2024;13:23;A166;1;0;0;0;0;0;0;0;0
12.04.2024;13:00;A166;1;0;0;0;0;0;0;0;0
12.04.2024;12:37;A166;1;0;0;0;0;0;0;0;0
12.04.2024;12:33;A166;1;0;0;0;0;0;0;0;0
12.04.2024;12:21;A166;1;0;0;0;0;0;0;0;0
12.04.2024;12:11;A166;1;0;0;0;0;0;0;0;0
12.04.2024;11:45;A166;1;0;0;0;0;0;0;0;0
12.04.2024;11:42;A166;1;0;0;0;0;0;0;0;0
12.04.2024;11:32;A166;1;0;0;0;0;0;0;0;0
12.04.2024;11:31;A166;1;0;0;0;0;0;0;0;0
