Datum;Uhrzeit;Bezeichnung;Intervall;D20Z;D20B;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D51Z;D51B;D52Z;D52B;D53_1Z;D53_1B;D53_2Z;D53_2B;D54Z;D54B;V55Z;V55B;V56Z;V56B;D80Z;D80B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;V85Z;V85B;D110Z;D110B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;V115Z;V115B;V116Z;V116B;V117Z;V117B;V118Z;V118B;TF31Z;TF31B;TF31aZ;TF31aB;TBS31Z;TBS31B;TBS31aZ;TBS31aB;TBS35Z;TBS35B;TBS35aZ;TBS35aB;TF38Z;TF38B;TF38aZ;TF38aB;TBS38Z;TBS38B;TBS38aZ;TBS38aB
12.04.2024;16:26;A 49;1;3;1;13;15;12;11;6;11;6;17;3;15;0;0;0;0;0;0;2;93;0;98;0;0;5;7;13;45;0;0;2;76;2;46;0;0;0;0;18;36;8;32;5;95;6;59;3;53;3;48;13;77;5;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:45;A 49;1;4;2;10;13;8;6;5;30;6;15;6;89;0;0;0;0;0;0;5;26;1;97;0;0;1;0;8;42;0;0;2;70;10;51;0;0;0;0;16;49;7;18;5;73;7;34;0;0;3;13;6;50;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:44;A 49;1;3;1;4;4;4;4;1;0;7;5;8;81;0;0;0;0;0;0;3;2;1;95;0;0;1;0;8;70;0;0;1;95;4;85;1;1;0;0;10;56;5;30;3;59;5;50;1;0;3;4;7;49;7;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:43;A 49;1;2;0;3;4;4;7;3;6;2;4;5;64;0;0;0;0;0;0;24;21;5;71;0;0;3;5;7;76;0;0;1;99;3;66;2;37;0;0;9;55;7;40;2;84;5;62;1;6;0;1;9;36;7;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:42;A 49;1;0;0;1;0;3;3;0;0;0;0;2;19;0;0;0;0;0;0;1;29;2;22;0;0;6;3;10;67;0;0;0;100;2;25;0;0;0;0;3;5;2;3;2;32;4;11;0;0;2;3;5;10;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:41;A 49;1;2;1;3;3;2;3;1;1;6;8;4;82;0;0;0;0;0;0;4;74;3;86;0;0;1;0;10;36;0;0;1;68;3;54;0;7;0;0;11;18;4;2;6;74;7;44;1;1;1;1;10;45;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:40;A 49;1;2;0;5;5;7;7;5;4;8;9;3;70;0;0;0;0;0;0;1;0;1;71;0;0;0;0;3;51;0;0;3;54;4;24;1;88;0;0;8;8;6;4;4;34;9;50;0;0;5;37;10;21;7;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
