Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;V15Z;V15B;V16Z;V16B;V17Z;V17B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;V26Z;V26B;V27Z;V27B;V28Z;V28B;V29Z;V29B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D34Z;D34B;V36Z;V36B;V37Z;V37B;V38Z;V38B;V39Z;V39B;V40Z;V40B;V41Z;V41B;V42Z;V42B;D43Z;D43B;V45Z;V45B;V46Z;V46B;V47Z;V47B;V48Z;V48B
12.04.2024;16:27;A 36;1;0;0;2;85;3;77;1;84;2;72;2;82;2;82;0;4;3;5;2;2;1;75;0;0;1;11;3;12;0;73;0;93;1;95;1;1;1;66;0;0;1;83;1;3;1;6;0;0;9;6;3;3;2;73;2;6;0;13;0;70;1;32
12.04.2024;09:46;A 36;1;0;0;1;27;0;0;0;0;1;5;0;0;0;0;0;24;6;18;5;31;2;53;0;28;0;100;3;38;3;32;0;0;3;53;2;44;3;49;0;0;2;42;9;29;3;50;0;0;3;55;1;1;2;63;2;9;2;31;3;42;2;48
12.04.2024;09:45;A 36;1;0;0;2;2;0;0;2;46;2;11;1;2;2;13;1;10;5;13;0;2;1;50;2;28;0;100;1;8;1;40;1;30;4;46;1;68;2;56;1;7;1;64;5;58;2;44;0;0;1;48;3;7;0;0;2;9;1;55;3;15;0;0
12.04.2024;09:44;A 36;1;0;0;2;56;1;52;1;7;0;58;1;34;1;5;1;55;4;20;3;9;3;35;2;11;0;100;4;12;2;39;0;0;2;46;3;13;1;57;0;0;1;52;4;68;1;7;0;0;0;0;1;66;1;8;0;0;0;0;1;8;1;4
12.04.2024;09:43;A 36;1;0;0;2;77;1;55;0;0;3;73;1;6;0;0;0;0;2;9;3;6;2;16;2;34;1;37;2;41;0;22;0;38;3;39;0;37;3;68;0;0;0;44;0;0;1;52;0;0;3;61;1;78;0;11;0;0;1;73;1;6;0;0
12.04.2024;09:42;A 36;1;0;0;5;45;1;20;0;44;6;27;1;8;0;43;1;64;4;44;2;37;1;9;2;14;2;87;6;47;1;7;1;42;4;46;5;32;3;93;2;9;4;53;2;33;0;63;0;0;4;65;2;72;2;82;0;0;1;80;1;63;3;7
12.04.2024;09:41;A 36;1;2;3;2;8;4;6;2;51;1;15;1;16;2;45;0;0;3;58;3;58;2;43;0;0;0;100;2;44;2;43;0;0;1;80;2;9;1;39;0;0;2;31;1;16;1;17;0;0;1;1;0;0;0;0;1;4;2;5;2;6;0;0
