Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;V26Z;V26B;D81Z;D81B;V82Z;V82B;D91Z;D91B;V92Z;V92B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;TF32Z;TF32B;TF35Z;TF35B;TF37Z;TF37B;TF38Z;TF38B;TF39Z;TF39B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB37Z;TB37B;TB38Z;TB38B;TB39Z;TB39B;TB41Z;TB41B;ST58Z;ST58B;ST59Z;ST59B
12.04.2024;16:26;A 51;1;0;0;2;51;0;0;0;0;4;55;1;30;3;30;3;21;1;54;1;6;1;78;3;67;2;9;3;74;0;0;0;0;1;1;2;3;3;5;0;0;0;0;0;0;1;2;2;4;10;56;0;0;0;0;0;0
12.04.2024;09:45;A 51;1;0;0;6;10;0;0;0;0;1;68;0;0;5;5;3;27;0;0;1;8;1;16;1;2;1;5;1;10;1;1;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:44;A 51;1;0;0;4;3;1;1;0;0;1;14;1;5;8;8;4;33;1;17;2;8;0;76;1;1;1;2;2;8;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0
12.04.2024;09:43;A 51;1;0;0;1;1;0;0;0;0;1;8;0;0;5;6;2;23;3;10;1;19;3;10;4;9;3;13;6;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:42;A 51;1;1;8;6;67;0;0;1;5;2;82;0;60;6;11;1;79;1;73;2;50;1;12;4;5;2;16;3;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:41;A 51;1;1;4;25;52;1;1;0;7;5;78;3;12;10;29;5;65;1;64;1;3;1;90;2;3;2;82;3;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:40;A 51;1;0;0;54;56;0;0;1;1;1;91;0;0;2;48;2;63;1;31;1;4;0;0;2;4;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
