Datum;Uhrzeit;Bezeichnung;Intervall;TF32Z;TF32B;TB32Z;TB32B;TF32aZ;TF32aB;TB32aZ;TB32aB
13.04.2024;01:12;A140;1;0;0;0;0;0;0;0;0
12.04.2024;18:07;A140;1;0;0;0;0;0;0;0;0
12.04.2024;16:26;A140;1;0;0;0;0;0;0;0;0
12.04.2024;10:08;A140;1;0;0;0;0;0;0;0;0
12.04.2024;09:45;A140;1;0;0;0;0;0;0;0;0
12.04.2024;09:44;A140;1;0;0;0;0;0;0;0;0
12.04.2024;09:43;A140;1;0;0;0;0;0;0;0;0
12.04.2024;09:42;A140;1;0;0;0;0;0;0;0;0
12.04.2024;09:41;A140;1;0;0;0;0;0;0;0;0
12.04.2024;09:40;A140;1;0;0;0;0;1;1;0;0
12.04.2024;09:15;A140;1;0;0;0;0;0;0;0;0
12.04.2024;07:29;A140;1;0;0;0;0;0;0;0;0
12.04.2024;04:51;A140;1;0;0;0;0;0;0;0;0
