Datum;Uhrzeit;Bezeichnung;Intervall;D41Z;D41B;V42Z;V42B;D71Z;D71B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D811Z;D811B;D812Z;D812B;V813Z;V813B;V814Z;V814B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;D121Z;D121B;D122Z;D122B;V123Z;V123B;V124Z;V124B;D125Z;D125B;D126Z;D126B;TF32Z;TF32B;TF33Z;TF33B;TF35Z;TF35B;TF36Z;TF36B;TF37Z;TF37B;TF38Z;TF38B;TF41Z;TF41B;TF42Z;TF42B;TB31Z;TB31B;TB32Z;TB32B;TB33Z;TB33B;TB35Z;TB35B;TB36Z;TB36B;TB37Z;TB37B;TB38Z;TB38B;TB41Z;TB41B;TB42Z;TB42B;V521Z;V521B;ST52Z;ST52B;Weiche_GAZ;Weiche_GAB;Weiche_LAZ;Weiche_LAB
12.04.2024;16:26;A 81;1;1;20;2;11;4;7;0;35;2;36;2;25;1;4;3;2;2;2;2;6;2;8;3;23;4;28;2;33;3;51;8;13;7;63;3;13;0;100;2;34;11;17;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
12.04.2024;09:45;A 81;1;1;77;0;80;0;0;1;46;0;0;2;52;0;0;0;0;3;3;2;11;3;4;2;15;0;0;1;19;0;0;1;1;7;33;1;2;2;50;2;9;6;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:44;A 81;1;3;47;1;60;0;0;2;82;0;0;0;83;0;0;0;0;5;5;3;19;6;8;3;25;0;0;3;32;2;11;3;5;3;57;0;0;3;69;0;0;7;12;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:43;A 81;1;3;32;1;47;0;0;2;46;0;0;6;39;0;0;0;0;4;4;2;14;5;7;0;0;0;0;0;0;1;1;1;1;7;18;2;2;1;77;2;16;9;16;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:42;A 81;1;1;91;1;53;2;7;3;16;0;0;3;26;0;0;0;0;4;4;4;12;3;5;9;26;0;0;1;68;0;92;6;11;6;16;0;0;2;84;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:41;A 81;1;0;0;1;2;2;3;2;9;0;0;3;19;1;2;0;0;4;4;1;12;4;5;1;32;0;0;1;37;0;100;5;9;1;1;2;2;2;7;2;13;6;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:40;A 81;1;3;57;1;63;1;1;3;94;0;0;0;100;0;0;1;0;5;61;4;23;3;15;5;47;0;0;2;59;0;100;4;5;10;30;5;10;1;61;2;45;6;15;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0
