Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D31Z;D31B;V32Z;V32B;D33Z;D33B;D51Z;D51B;D52Z;D52B;V53Z;V53B;D61Z;D61B;D62Z;D62B;V63Z;V63B;V64Z;V64B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D91Z;D91B;V92Z;V92B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D121Z;D121B;V122Z;V122B;TF32Z;TF32B;TF33Z;TF33B;TF35Z;TF35B;TF38Z;TF38B;TF39Z;TF39B;TF41Z;TF41B;TBS32Z;TBS32B;TBS33Z;TBS33B;TBS35Z;TBS35B;TBS38Z;TBS38B;TBS39Z;TBS39B;TBS41Z;TBS41B;EG25Z;EG25B;EG26Z;EG26B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;V5_StoerZ;V5_StoerB;V6_StoerZ;V6_StoerB
12.04.2024;16:26;A 45;1;0;0;11;11;1;1;2;51;3;20;3;12;1;1;1;62;1;1;1;6;1;91;0;0;1;6;0;0;0;0;5;10;2;5;3;62;1;8;0;58;1;1;5;77;3;13;0;0;0;0;1;37;1;1;0;0;0;0;0;0;0;0;3;5;1;1;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;100;0;100;0;100;0;100;0;0;0;0
12.04.2024;09:45;A 45;1;1;0;6;39;0;0;0;81;1;79;0;100;2;3;1;76;3;2;2;29;3;43;0;0;2;53;0;0;0;0;11;35;5;24;1;92;3;15;1;45;1;63;3;34;1;3;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;0;0;0
12.04.2024;09:44;A 45;1;0;0;9;16;1;3;1;58;1;17;0;100;1;1;1;60;1;1;1;8;1;64;0;0;1;5;0;0;0;0;11;17;5;13;1;98;6;4;0;0;1;1;0;98;2;6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;100;0;100;0;0;0;0
12.04.2024;09:43;A 45;1;1;0;2;33;2;90;0;100;2;6;0;100;0;0;3;31;2;1;3;18;3;72;0;0;0;78;1;2;0;0;5;38;1;0;1;54;1;5;1;6;1;0;7;72;0;0;0;0;3;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;0;0;0
12.04.2024;09:42;A 45;1;0;0;7;16;0;0;2;55;1;78;0;100;3;4;1;56;1;1;1;9;1;73;0;0;2;59;0;0;0;0;11;44;7;17;5;79;4;10;3;15;1;0;1;86;0;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;0;0;0
12.04.2024;09:41;A 45;1;0;0;5;7;2;2;1;30;2;3;1;99;1;0;3;4;3;4;2;19;0;91;0;0;0;0;0;0;0;0;6;9;2;7;3;82;2;0;0;0;1;58;4;70;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;0;0;0
12.04.2024;09:40;A 45;1;0;0;5;17;2;3;2;98;4;37;0;100;8;5;3;26;3;2;2;15;3;94;0;0;0;71;1;0;0;0;7;70;4;11;0;100;1;0;0;0;1;23;5;68;1;6;0;0;0;60;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;100;0;100;0;100;0;100;0;0;0;0
