Datum;Uhrzeit;Bezeichnung;Intervall;D21_1Z;D21_1B;D21_2Z;D21_2B;V22Z;V22B;D51Z;D51B;D52Z;D52B;V53Z;V53B;V54Z;V54B;V55Z;V55B;D61_1Z;D61_1B;D61_2Z;D61_2B;V62Z;V62B;D81Z;D81B;D82_1Z;D82_1B;D82_2Z;D82_2B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;V115Z;V115B;D121_1Z;D121_1B;D121_2Z;D121_2B;V122Z;V122B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TBS32Z;TBS32B;TBS35Z;TBS35B;TBS38Z;TBS38B;TBS41Z;TBS41B;VK1StoerZ;VK1StoerB;VK2StoerZ;VK2StoerB;VK3StoerZ;VK3StoerB;VK4StoerZ;VK4StoerB
12.04.2024;16:26;A 97;1;8;34;9;56;5;88;0;100;0;100;1;93;2;13;0;100;0;100;1;5;2;5;0;0;0;0;3;14;0;0;2;61;1;79;3;34;1;87;0;0;2;95;2;95;3;66;0;0;1;1;0;0;0;0;1;5;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;
12.04.2024;09:45;A 97;1;2;64;2;63;1;38;0;100;0;100;2;60;3;60;0;100;0;100;1;36;0;0;1;2;1;2;0;0;1;4;6;77;2;47;2;89;3;4;0;0;1;68;1;69;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
12.04.2024;09:44;A 97;1;3;59;3;59;2;68;0;100;0;100;3;73;1;1;0;100;0;100;0;0;0;0;0;0;0;0;1;0;1;0;6;73;2;84;4;83;2;33;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;;
12.04.2024;09:43;A 97;1;4;52;4;54;6;69;0;100;0;100;1;90;3;25;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;62;2;2;3;55;0;0;1;77;1;77;2;5;0;0;1;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;
12.04.2024;09:42;A 97;1;2;87;2;88;0;98;0;100;0;100;4;74;0;36;0;100;0;100;0;22;1;2;0;9;0;7;0;0;0;10;4;47;4;40;4;10;4;10;0;0;1;58;1;58;2;5;1;1;0;0;0;0;0;0;1;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;
12.04.2024;09:41;A 97;1;6;88;6;88;1;99;0;100;0;100;2;28;2;29;0;100;0;100;2;28;2;6;4;72;4;73;3;25;3;87;9;80;3;33;2;54;0;56;0;0;1;51;1;50;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;;
12.04.2024;09:40;A 97;1;5;67;5;67;1;87;0;100;0;100;2;36;2;17;0;100;0;100;0;0;0;0;1;16;1;1;1;1;1;2;7;52;2;50;8;70;4;17;1;1;3;57;3;58;3;11;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;
