Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;D3Z;D3B;D4Z;D4B;D5Z;D5B;D6Z;D6B;D7Z;D7B;D8Z;D8B;D9Z;D9B;D10Z;D10B;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D15Z;D15B;D16Z;D16B;D17Z;D17B;D18Z;D18B;D19Z;D19B;D20Z;D20B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B
12.04.2024;16:27;A  6;1;0;0;8;6;0;0;12;8;9;8;10;15;11;12;11;8;12;9;13;12;0;100;0;100;0;0;0;0;5;4;0;100;17;15;17;16;0;100;0;100;3;3;3;2;10;10;10;10
12.04.2024;09:46;A  6;1;0;0;3;2;0;0;7;5;1;0;2;3;2;2;2;2;7;5;7;7;0;100;0;100;0;0;0;0;7;7;0;100;5;4;5;4;0;100;0;100;7;6;7;6;5;4;5;4
12.04.2024;09:45;A  6;1;0;0;6;3;0;0;8;8;3;3;2;3;1;1;0;0;7;6;7;8;0;100;0;100;0;8;0;9;1;1;0;100;6;6;6;6;0;100;0;100;2;2;2;2;7;6;7;6
12.04.2024;09:44;A  6;1;0;0;10;5;0;0;14;11;3;2;2;3;4;4;3;2;9;6;9;9;0;100;0;100;1;10;1;9;4;4;0;100;9;9;9;9;0;100;0;100;4;3;4;3;6;5;7;4
12.04.2024;09:43;A  6;1;0;0;2;1;0;0;4;3;10;7;8;11;6;7;6;4;5;3;5;5;0;100;0;100;0;0;0;0;2;2;0;100;6;5;6;5;0;100;0;100;1;1;1;1;7;6;7;6
12.04.2024;09:42;A  6;1;0;0;3;2;0;0;2;1;6;5;7;9;7;6;6;5;5;4;7;7;0;100;0;100;0;0;0;0;6;6;0;100;7;6;7;6;0;100;0;100;5;4;5;4;5;5;5;4
12.04.2024;09:41;A  6;1;0;0;3;2;1;1;5;4;5;4;6;7;5;4;2;1;4;3;3;3;0;100;0;100;0;0;0;0;3;3;0;100;10;10;10;11;0;100;0;100;3;3;3;2;10;9;10;8
